t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1620858783,19,0.626272,0.000000,0.000000,0.000000,events/second
1620858813,25,0.416665,0.000000,0.000000,0.000000,events/second
1620858843,28,0.311128,0.000000,0.000000,0.000000,events/second
1620858873,34,0.283344,0.000000,0.000000,0.000000,events/second
1620858903,37,0.246671,0.000000,0.000000,0.000000,events/second
1620858933,43,0.238900,0.000000,0.000000,0.000000,events/second
1620858963,46,0.219053,0.000000,0.000000,0.000000,events/second
1620858993,52,0.216671,0.000000,0.000000,0.000000,events/second
1620859023,55,0.203707,0.000000,0.000000,0.000000,events/second
1620859053,61,0.203338,0.000000,0.000000,0.000000,events/second
1620859083,64,0.193943,0.000000,0.000000,0.000000,events/second
1620859113,70,0.194450,0.000000,0.000000,0.000000,events/second
1620859143,73,0.187183,0.000000,0.000000,0.000000,events/second
1620859173,79,0.188098,0.000000,0.000000,0.000000,events/second
1620859203,82,0.182225,0.000000,0.000000,0.000000,events/second
1620859233,88,0.183336,0.000000,0.000000,0.000000,events/second
1620859263,91,0.178433,0.000000,0.000000,0.000000,events/second
1620859293,97,0.179632,0.000000,0.000000,0.000000,events/second
1620859323,100,0.175441,0.000000,0.000000,0.000000,events/second
1620859353,106,0.176669,0.000000,0.000000,0.000000,events/second
1620859383,112,0.177780,0.000000,0.000000,0.000000,events/second
1620859413,121,0.183336,0.000000,0.000000,0.000000,events/second
1620859443,124,0.179712,0.000000,0.000000,0.000000,events/second
1620859473,133,0.184724,0.000000,0.000000,0.000000,events/second
1620859503,136,0.181336,0.000000,0.000000,0.000000,events/second
1620859533,142,0.182053,0.000000,0.000000,0.000000,events/second
1620859563,145,0.179014,0.000000,0.000000,0.000000,events/second
1620859593,154,0.183335,0.000000,0.000000,0.000000,events/second
1620859623,157,0.180462,0.000000,0.000000,0.000000,events/second
1620859653,163,0.181113,0.000000,0.000000,0.000000,events/second
1620859683,166,0.178496,0.000000,0.000000,0.000000,events/second
1620859713,175,0.182293,0.000000,0.000000,0.000000,events/second
1620859743,181,0.182830,0.000000,0.000000,0.000000,events/second
1620859773,187,0.183335,0.000000,0.000000,0.000000,events/second
1620859803,190,0.180953,0.000000,0.000000,0.000000,events/second
1620859833,196,0.181483,0.000000,0.000000,0.000000,events/second
1620859863,199,0.179281,0.000000,0.000000,0.000000,events/second
1620859893,205,0.179826,0.000000,0.000000,0.000000,events/second
1620859923,208,0.177779,0.000000,0.000000,0.000000,events/second
1620859953,214,0.178334,0.000000,0.000000,0.000000,events/second
1620859983,217,0.176424,0.000000,0.000000,0.000000,events/second
1620860013,223,0.176985,0.000000,0.000000,0.000000,events/second
1620860043,226,0.175195,0.000000,0.000000,0.000000,events/second
1620860073,235,0.178031,0.000000,0.000000,0.000000,events/second
1620860103,247,0.182964,0.000000,0.000000,0.000000,events/second
1620860133,253,0.183335,0.000000,0.000000,0.000000,events/second
1620860163,256,0.181561,0.000000,0.000000,0.000000,events/second
1620860193,262,0.181946,0.000000,0.000000,0.000000,events/second
1620860223,265,0.180273,0.000000,0.000000,0.000000,events/second
1620860253,274,0.182668,0.000000,0.000000,0.000000,events/second
1620860283,277,0.181047,0.000000,0.000000,0.000000,events/second
1620860313,283,0.181411,0.000000,0.000000,0.000000,events/second
1620860343,298,0.187422,0.000000,0.000000,0.000000,events/second
1620860373,310,0.191359,0.000000,0.000000,0.000000,events/second
1620860403,313,0.189698,0.000000,0.000000,0.000000,events/second
1620860433,328,0.195239,0.000000,0.000000,0.000000,events/second
1620860463,331,0.193568,0.000000,0.000000,0.000000,events/second
1620860493,337,0.193679,0.000000,0.000000,0.000000,events/second
1620860523,340,0.192091,0.000000,0.000000,0.000000,events/second
1620860553,346,0.192223,0.000000,0.000000,0.000000,events/second
1620860583,349,0.190711,0.000000,0.000000,0.000000,events/second
1620860613,355,0.190861,0.000000,0.000000,0.000000,events/second
1620860643,358,0.189419,0.000000,0.000000,0.000000,events/second
1620860673,367,0.191147,0.000000,0.000000,0.000000,events/second
1620860703,370,0.189744,0.000000,0.000000,0.000000,events/second
1620860733,376,0.189900,0.000000,0.000000,0.000000,events/second
1620860763,379,0.188558,0.000000,0.000000,0.000000,events/second
1620860793,385,0.188726,0.000000,0.000000,0.000000,events/second
1620860823,388,0.187441,0.000000,0.000000,0.000000,events/second
1620860853,397,0.189048,0.000000,0.000000,0.000000,events/second
1620860883,400,0.187794,0.000000,0.000000,0.000000,events/second
1620860913,406,0.187964,0.000000,0.000000,0.000000,events/second
1620860943,409,0.186759,0.000000,0.000000,0.000000,events/second
1620860973,415,0.186938,0.000000,0.000000,0.000000,events/second
1620861003,418,0.185778,0.000000,0.000000,0.000000,events/second
1620861033,427,0.187281,0.000000,0.000000,0.000000,events/second
1620861063,433,0.187446,0.000000,0.000000,0.000000,events/second
1620861093,442,0.188889,0.000000,0.000000,0.000000,events/second
1620861123,448,0.189030,0.000000,0.000000,0.000000,events/second
1620861153,454,0.189167,0.000000,0.000000,0.000000,events/second
1620861183,457,0.188066,0.000000,0.000000,0.000000,events/second
1620861213,463,0.188212,0.000000,0.000000,0.000000,events/second
1620861243,466,0.187149,0.000000,0.000000,0.000000,events/second
1620861273,472,0.187302,0.000000,0.000000,0.000000,events/second
1620861303,475,0.186275,0.000000,0.000000,0.000000,events/second
1620861333,481,0.186435,0.000000,0.000000,0.000000,events/second
1620861363,484,0.185441,0.000000,0.000000,0.000000,events/second
1620861393,490,0.185607,0.000000,0.000000,0.000000,events/second
1620861423,493,0.184645,0.000000,0.000000,0.000000,events/second
1620861453,499,0.184815,0.000000,0.000000,0.000000,events/second
1620861483,502,0.183883,0.000000,0.000000,0.000000,events/second
1620861513,508,0.184059,0.000000,0.000000,0.000000,events/second
1620861543,511,0.183155,0.000000,0.000000,0.000000,events/second
1620861573,517,0.183334,0.000000,0.000000,0.000000,events/second
1620861603,520,0.182457,0.000000,0.000000,0.000000,events/second
1620861633,529,0.183681,0.000000,0.000000,0.000000,events/second
1620861663,535,0.183849,0.000000,0.000000,0.000000,events/second
1620861693,541,0.184014,0.000000,0.000000,0.000000,events/second
1620861723,544,0.183166,0.000000,0.000000,0.000000,events/second
1620861753,550,0.183334,0.000000,0.000000,0.000000,events/second
1620861783,553,0.182509,0.000000,0.000000,0.000000,events/second
1620861813,559,0.182680,0.000000,0.000000,0.000000,events/second
1620861843,562,0.181878,0.000000,0.000000,0.000000,events/second
1620861873,568,0.182052,0.000000,0.000000,0.000000,events/second
1620861903,571,0.181270,0.000000,0.000000,0.000000,events/second
1620861933,577,0.181447,0.000000,0.000000,0.000000,events/second
1620861963,580,0.180686,0.000000,0.000000,0.000000,events/second
1620861993,589,0.181791,0.000000,0.000000,0.000000,events/second
1620862023,595,0.181958,0.000000,0.000000,0.000000,events/second
1620862053,601,0.182122,0.000000,0.000000,0.000000,events/second
1620862083,604,0.181382,0.000000,0.000000,0.000000,events/second
1620862113,610,0.181548,0.000000,0.000000,0.000000,events/second
1620862143,616,0.181711,0.000000,0.000000,0.000000,events/second
1620862173,622,0.181872,0.000000,0.000000,0.000000,events/second
1620862203,625,0.181160,0.000000,0.000000,0.000000,events/second
1620862233,631,0.181322,0.000000,0.000000,0.000000,events/second
1620862263,634,0.180627,0.000000,0.000000,0.000000,events/second
1620862293,640,0.180791,0.000000,0.000000,0.000000,events/second
1620862323,643,0.180112,0.000000,0.000000,0.000000,events/second
1620862353,649,0.180278,0.000000,0.000000,0.000000,events/second
1620862383,654,0.180166,0.000000,0.000000,0.000000,events/second
1620862413,660,0.180328,0.000000,0.000000,0.000000,events/second
1620862443,663,0.179675,0.000000,0.000000,0.000000,events/second
1620862473,669,0.179839,0.000000,0.000000,0.000000,events/second
1620862503,672,0.179200,0.000000,0.000000,0.000000,events/second
1620862533,678,0.179365,0.000000,0.000000,0.000000,events/second
1620862563,681,0.178741,0.000000,0.000000,0.000000,events/second
1620862593,687,0.178907,0.000000,0.000000,0.000000,events/second
1620862623,690,0.178295,0.000000,0.000000,0.000000,events/second
1620862653,696,0.178462,0.000000,0.000000,0.000000,events/second
1620862683,699,0.177863,0.000000,0.000000,0.000000,events/second
1620862713,705,0.178031,0.000000,0.000000,0.000000,events/second
1620862743,708,0.177444,0.000000,0.000000,0.000000,events/second
1620862773,714,0.177612,0.000000,0.000000,0.000000,events/second
1620862803,717,0.177037,0.000000,0.000000,0.000000,events/second
1620862833,723,0.177206,0.000000,0.000000,0.000000,events/second
1620862863,726,0.176643,0.000000,0.000000,0.000000,events/second
1620862893,732,0.176812,0.000000,0.000000,0.000000,events/second
1620862923,735,0.176259,0.000000,0.000000,0.000000,events/second
1620862953,741,0.176429,0.000000,0.000000,0.000000,events/second
1620862983,744,0.175887,0.000000,0.000000,0.000000,events/second
1620863013,750,0.176057,0.000000,0.000000,0.000000,events/second
1620863043,753,0.175525,0.000000,0.000000,0.000000,events/second
1620863073,759,0.175695,0.000000,0.000000,0.000000,events/second
1620863103,762,0.175173,0.000000,0.000000,0.000000,events/second
1620863133,768,0.175343,0.000000,0.000000,0.000000,events/second
1620863163,771,0.174830,0.000000,0.000000,0.000000,events/second
1620863193,777,0.175000,0.000000,0.000000,0.000000,events/second
1620863223,780,0.174497,0.000000,0.000000,0.000000,events/second
1620863253,786,0.174667,0.000000,0.000000,0.000000,events/second
1620863283,789,0.174172,0.000000,0.000000,0.000000,events/second
1620863313,795,0.174342,0.000000,0.000000,0.000000,events/second
1620863343,798,0.173856,0.000000,0.000000,0.000000,events/second
1620863373,804,0.174026,0.000000,0.000000,0.000000,events/second
1620863403,807,0.173549,0.000000,0.000000,0.000000,events/second
1620863433,813,0.173718,0.000000,0.000000,0.000000,events/second
1620863463,816,0.173249,0.000000,0.000000,0.000000,events/second
1620863493,822,0.173418,0.000000,0.000000,0.000000,events/second
