t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1620858783,99,3.262451,0.000000,0.000000,0.000000,events/second
1620858813,145,2.416701,0.000000,0.000000,0.000000,events/second
1620858843,168,1.866792,0.000000,0.000000,0.000000,events/second
1620858873,214,1.783419,0.000000,0.000000,0.000000,events/second
1620858903,237,1.580042,0.000000,0.000000,0.000000,events/second
1620858933,283,1.572302,0.000000,0.000000,0.000000,events/second
1620858963,306,1.457188,0.000000,0.000000,0.000000,events/second
1620858993,352,1.466703,0.000000,0.000000,0.000000,events/second
1620859023,375,1.388919,0.000000,0.000000,0.000000,events/second
1620859053,421,1.403368,0.000000,0.000000,0.000000,events/second
1620859083,444,1.345488,0.000000,0.000000,0.000000,events/second
1620859113,490,1.361151,0.000000,0.000000,0.000000,events/second
1620859143,513,1.315411,0.000000,0.000000,0.000000,events/second
1620859173,559,1.330979,0.000000,0.000000,0.000000,events/second
1620859203,582,1.293353,0.000000,0.000000,0.000000,events/second
1620859233,628,1.308354,0.000000,0.000000,0.000000,events/second
1620859263,651,1.276487,0.000000,0.000000,0.000000,events/second
1620859293,697,1.290760,0.000000,0.000000,0.000000,events/second
1620859323,720,1.263180,0.000000,0.000000,0.000000,events/second
1620859353,796,1.326688,0.000000,0.000000,0.000000,events/second
1620859383,857,1.360336,0.000000,0.000000,0.000000,events/second
1620859413,931,1.410626,0.000000,0.000000,0.000000,events/second
1620859443,959,1.389875,0.000000,0.000000,0.000000,events/second
1620859473,1033,1.434737,0.000000,0.000000,0.000000,events/second
1620859503,1061,1.414687,0.000000,0.000000,0.000000,events/second
1620859533,1107,1.419250,0.000000,0.000000,0.000000,events/second
1620859563,1130,1.395079,0.000000,0.000000,0.000000,events/second
1620859593,1249,1.486918,0.000000,0.000000,0.000000,events/second
1620859623,1272,1.462087,0.000000,0.000000,0.000000,events/second
1620859653,1318,1.464463,0.000000,0.000000,0.000000,events/second
1620859683,1346,1.447326,0.000000,0.000000,0.000000,events/second
1620859713,1430,1.489598,0.000000,0.000000,0.000000,events/second
1620859743,1496,1.511125,0.000000,0.000000,0.000000,events/second
1620859773,1547,1.516680,0.000000,0.000000,0.000000,events/second
1620859803,1570,1.495248,0.000000,0.000000,0.000000,events/second
1620859833,1616,1.496309,0.000000,0.000000,0.000000,events/second
1620859863,1639,1.476592,0.000000,0.000000,0.000000,events/second
1620859893,1685,1.478085,0.000000,0.000000,0.000000,events/second
1620859923,1708,1.459838,0.000000,0.000000,0.000000,events/second
1620859953,1754,1.461677,0.000000,0.000000,0.000000,events/second
1620859983,1777,1.444725,0.000000,0.000000,0.000000,events/second
1620860013,1823,1.446835,0.000000,0.000000,0.000000,events/second
1620860043,1846,1.431017,0.000000,0.000000,0.000000,events/second
1620860073,1930,1.462130,0.000000,0.000000,0.000000,events/second
1620860103,2047,1.516306,0.000000,0.000000,0.000000,events/second
1620860133,2093,1.516680,0.000000,0.000000,0.000000,events/second
1620860163,2116,1.500718,0.000000,0.000000,0.000000,events/second
1620860193,2162,1.501400,0.000000,0.000000,0.000000,events/second
1620860223,2185,1.486405,0.000000,0.000000,0.000000,events/second
1620860253,2264,1.509344,0.000000,0.000000,0.000000,events/second
1620860283,2302,1.504584,0.000000,0.000000,0.000000,events/second
1620860313,2388,1.530777,0.000000,0.000000,0.000000,events/second
1620860343,2528,1.589946,0.000000,0.000000,0.000000,events/second
1620860373,2645,1.632725,0.000000,0.000000,0.000000,events/second
1620860403,2698,1.635160,0.000000,0.000000,0.000000,events/second
1620860433,2863,1.704175,0.000000,0.000000,0.000000,events/second
1620860463,2886,1.687727,0.000000,0.000000,0.000000,events/second
1620860493,2932,1.685069,0.000000,0.000000,0.000000,events/second
1620860523,2955,1.669499,0.000000,0.000000,0.000000,events/second
1620860553,3001,1.667229,0.000000,0.000000,0.000000,events/second
1620860583,3024,1.652467,0.000000,0.000000,0.000000,events/second
1620860613,3070,1.650544,0.000000,0.000000,0.000000,events/second
