t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1620858783,85,2.800243,0.000000,0.000000,0.000000,events/second
1620858813,125,2.083372,0.000000,0.000000,0.000000,events/second
1620858843,145,1.611225,0.000000,0.000000,0.000000,events/second
1620858873,185,1.541744,0.000000,0.000000,0.000000,events/second
1620858903,205,1.366706,0.000000,0.000000,0.000000,events/second
1620858933,245,1.361183,0.000000,0.000000,0.000000,events/second
1620858963,265,1.261945,0.000000,0.000000,0.000000,events/second
1620858993,305,1.270867,0.000000,0.000000,0.000000,events/second
1620859023,325,1.203731,0.000000,0.000000,0.000000,events/second
1620859053,365,1.216698,0.000000,0.000000,0.000000,events/second
1620859083,385,1.166696,0.000000,0.000000,0.000000,events/second
1620859113,425,1.180591,0.000000,0.000000,0.000000,events/second
1620859143,445,1.141049,0.000000,0.000000,0.000000,events/second
1620859173,485,1.154786,0.000000,0.000000,0.000000,events/second
1620859203,505,1.122240,0.000000,0.000000,0.000000,events/second
1620859233,545,1.135436,0.000000,0.000000,0.000000,events/second
1620859263,565,1.107858,0.000000,0.000000,0.000000,events/second
1620859293,605,1.120388,0.000000,0.000000,0.000000,events/second
1620859323,625,1.096511,0.000000,0.000000,0.000000,events/second
1620859353,695,1.158353,0.000000,0.000000,0.000000,events/second
1620859383,750,1.190493,0.000000,0.000000,0.000000,events/second
1620859413,815,1.234867,0.000000,0.000000,0.000000,events/second
1620859443,840,1.217410,0.000000,0.000000,0.000000,events/second
1620859473,905,1.256958,0.000000,0.000000,0.000000,events/second
1620859503,930,1.240019,0.000000,0.000000,0.000000,events/second
1620859533,970,1.243607,0.000000,0.000000,0.000000,events/second
1620859563,990,1.222238,0.000000,0.000000,0.000000,events/second
1620859593,1100,1.309536,0.000000,0.000000,0.000000,events/second
1620859623,1120,1.287372,0.000000,0.000000,0.000000,events/second
1620859653,1160,1.288905,0.000000,0.000000,0.000000,events/second
1620859683,1185,1.274207,0.000000,0.000000,0.000000,events/second
1620859713,1260,1.312513,0.000000,0.000000,0.000000,events/second
1620859743,1320,1.333346,0.000000,0.000000,0.000000,events/second
1620859773,1365,1.338247,0.000000,0.000000,0.000000,events/second
1620859803,1385,1.319056,0.000000,0.000000,0.000000,events/second
1620859833,1425,1.319456,0.000000,0.000000,0.000000,events/second
1620859863,1445,1.301816,0.000000,0.000000,0.000000,events/second
1620859893,1485,1.302645,0.000000,0.000000,0.000000,events/second
1620859923,1505,1.286333,0.000000,0.000000,0.000000,events/second
1620859953,1545,1.287510,0.000000,0.000000,0.000000,events/second
1620859983,1565,1.272367,0.000000,0.000000,0.000000,events/second
1620860013,1605,1.273818,0.000000,0.000000,0.000000,events/second
1620860043,1625,1.259699,0.000000,0.000000,0.000000,events/second
1620860073,1700,1.287887,0.000000,0.000000,0.000000,events/second
1620860103,1805,1.337046,0.000000,0.000000,0.000000,events/second
1620860133,1845,1.336968,0.000000,0.000000,0.000000,events/second
1620860163,1865,1.322704,0.000000,0.000000,0.000000,events/second
1620860193,1905,1.322927,0.000000,0.000000,0.000000,events/second
1620860223,1925,1.309533,0.000000,0.000000,0.000000,events/second
1620860253,1995,1.330009,0.000000,0.000000,0.000000,events/second
1620860283,2030,1.326805,0.000000,0.000000,0.000000,events/second
1620860313,2110,1.352571,0.000000,0.000000,0.000000,events/second
1620860343,2235,1.405669,0.000000,0.000000,0.000000,events/second
1620860373,2340,1.444453,0.000000,0.000000,0.000000,events/second
1620860403,2390,1.448493,0.000000,0.000000,0.000000,events/second
1620860433,2540,1.511913,0.000000,0.000000,0.000000,events/second
1620860463,2560,1.497083,0.000000,0.000000,0.000000,events/second
1620860493,2600,1.494263,0.000000,0.000000,0.000000,events/second
1620860523,2620,1.480233,0.000000,0.000000,0.000000,events/second
1620860553,2660,1.477785,0.000000,0.000000,0.000000,events/second
1620860583,2680,1.464488,0.000000,0.000000,0.000000,events/second
1620860613,2720,1.462372,0.000000,0.000000,0.000000,events/second
1620860643,2740,1.449744,0.000000,0.000000,0.000000,events/second
1620860673,2815,1.466152,0.000000,0.000000,0.000000,events/second
1620860703,2835,1.453852,0.000000,0.000000,0.000000,events/second
1620860733,2875,1.452029,0.000000,0.000000,0.000000,events/second
1620860763,2895,1.440305,0.000000,0.000000,0.000000,events/second
1620860793,2935,1.438732,0.000000,0.000000,0.000000,events/second
1620860823,2955,1.427545,0.000000,0.000000,0.000000,events/second
1620860853,3050,1.452386,0.000000,0.000000,0.000000,events/second
1620860883,3070,1.441320,0.000000,0.000000,0.000000,events/second
1620860913,3110,1.439820,0.000000,0.000000,0.000000,events/second
1620860943,3130,1.429229,0.000000,0.000000,0.000000,events/second
1620860973,3170,1.427934,0.000000,0.000000,0.000000,events/second
1620861003,3205,1.424450,0.000000,0.000000,0.000000,events/second
1620861033,3300,1.447374,0.000000,0.000000,0.000000,events/second
1620861063,3355,1.452387,0.000000,0.000000,0.000000,events/second
1620861093,3435,1.467954,0.000000,0.000000,0.000000,events/second
1620861123,3485,1.470470,0.000000,0.000000,0.000000,events/second
1620861153,3525,1.468756,0.000000,0.000000,0.000000,events/second
1620861183,3545,1.458853,0.000000,0.000000,0.000000,events/second
1620861213,3585,1.457322,0.000000,0.000000,0.000000,events/second
1620861243,3610,1.449804,0.000000,0.000000,0.000000,events/second
1620861273,3650,1.448417,0.000000,0.000000,0.000000,events/second
1620861303,3670,1.439221,0.000000,0.000000,0.000000,events/second
1620861333,3710,1.437989,0.000000,0.000000,0.000000,events/second
1620861363,3730,1.429124,0.000000,0.000000,0.000000,events/second
1620861393,3770,1.428037,0.000000,0.000000,0.000000,events/second
1620861423,3790,1.419481,0.000000,0.000000,0.000000,events/second
1620861453,3830,1.418523,0.000000,0.000000,0.000000,events/second
1620861483,3850,1.410261,0.000000,0.000000,0.000000,events/second
1620861513,3890,1.409426,0.000000,0.000000,0.000000,events/second
1620861543,3910,1.401438,0.000000,0.000000,0.000000,events/second
1620861573,3950,1.400715,0.000000,0.000000,0.000000,events/second
1620861603,4010,1.407023,0.000000,0.000000,0.000000,events/second
1620861633,4125,1.432298,0.000000,0.000000,0.000000,events/second
1620861663,4195,1.441585,0.000000,0.000000,0.000000,events/second
1620861693,4235,1.440481,0.000000,0.000000,0.000000,events/second
1620861723,4255,1.432665,0.000000,0.000000,0.000000,events/second
1620861753,4295,1.431672,0.000000,0.000000,0.000000,events/second
1620861783,4315,1.424097,0.000000,0.000000,0.000000,events/second
1620861813,4355,1.423207,0.000000,0.000000,0.000000,events/second
1620861843,4375,1.415863,0.000000,0.000000,0.000000,events/second
1620861873,4415,1.415068,0.000000,0.000000,0.000000,events/second
1620861903,4435,1.407942,0.000000,0.000000,0.000000,events/second
1620861933,4485,1.410381,0.000000,0.000000,0.000000,events/second
1620861963,4565,1.422123,0.000000,0.000000,0.000000,events/second
1620861993,4660,1.438276,0.000000,0.000000,0.000000,events/second
1620862023,4710,1.440372,0.000000,0.000000,0.000000,events/second
1620862053,4750,1.439398,0.000000,0.000000,0.000000,events/second
1620862083,4770,1.432436,0.000000,0.000000,0.000000,events/second
1620862113,4810,1.431552,0.000000,0.000000,0.000000,events/second
1620862143,4860,1.433632,0.000000,0.000000,0.000000,events/second
1620862173,4900,1.432753,0.000000,0.000000,0.000000,events/second
1620862203,4920,1.426091,0.000000,0.000000,0.000000,events/second
1620862233,4960,1.425293,0.000000,0.000000,0.000000,events/second
1620862263,4980,1.418807,0.000000,0.000000,0.000000,events/second
1620862293,5020,1.418083,0.000000,0.000000,0.000000,events/second
1620862323,5040,1.411769,0.000000,0.000000,0.000000,events/second
1620862353,5080,1.411115,0.000000,0.000000,0.000000,events/second
1620862383,5102,1.405513,0.000000,0.000000,0.000000,events/second
1620862413,5142,1.404922,0.000000,0.000000,0.000000,events/second
1620862443,5162,1.398920,0.000000,0.000000,0.000000,events/second
1620862473,5202,1.398391,0.000000,0.000000,0.000000,events/second
1620862503,5222,1.392537,0.000000,0.000000,0.000000,events/second
1620862533,5262,1.392067,0.000000,0.000000,0.000000,events/second
1620862563,5342,1.402103,0.000000,0.000000,0.000000,events/second
1620862593,5402,1.406774,0.000000,0.000000,0.000000,events/second
1620862623,5422,1.401038,0.000000,0.000000,0.000000,events/second
1620862653,5462,1.400517,0.000000,0.000000,0.000000,events/second
1620862683,5482,1.394915,0.000000,0.000000,0.000000,events/second
1620862713,5522,1.394448,0.000000,0.000000,0.000000,events/second
1620862743,5542,1.388976,0.000000,0.000000,0.000000,events/second
1620862773,5582,1.388561,0.000000,0.000000,0.000000,events/second
1620862803,5602,1.383213,0.000000,0.000000,0.000000,events/second
1620862833,5642,1.382847,0.000000,0.000000,0.000000,events/second
1620862863,5662,1.377618,0.000000,0.000000,0.000000,events/second
1620862893,5702,1.377299,0.000000,0.000000,0.000000,events/second
1620862923,5722,1.372185,0.000000,0.000000,0.000000,events/second
1620862953,5762,1.371907,0.000000,0.000000,0.000000,events/second
1620862983,5782,1.366906,0.000000,0.000000,0.000000,events/second
1620863013,5822,1.366670,0.000000,0.000000,0.000000,events/second
1620863043,5842,1.361774,0.000000,0.000000,0.000000,events/second
1620863073,5882,1.361577,0.000000,0.000000,0.000000,events/second
1620863103,5902,1.356784,0.000000,0.000000,0.000000,events/second
1620863133,5942,1.356625,0.000000,0.000000,0.000000,events/second
1620863163,5962,1.351931,0.000000,0.000000,0.000000,events/second
1620863193,6002,1.351804,0.000000,0.000000,0.000000,events/second
1620863223,6022,1.347205,0.000000,0.000000,0.000000,events/second
1620863253,6062,1.347113,0.000000,0.000000,0.000000,events/second
1620863283,6082,1.342606,0.000000,0.000000,0.000000,events/second
1620863313,6122,1.342545,0.000000,0.000000,0.000000,events/second
1620863343,6142,1.338128,0.000000,0.000000,0.000000,events/second
1620863373,6182,1.338097,0.000000,0.000000,0.000000,events/second
1620863403,6202,1.333765,0.000000,0.000000,0.000000,events/second
1620863433,6242,1.333762,0.000000,0.000000,0.000000,events/second
1620863463,6262,1.329513,0.000000,0.000000,0.000000,events/second
1620863493,6302,1.329537,0.000000,0.000000,0.000000,events/second
1620863523,6322,1.325369,0.000000,0.000000,0.000000,events/second
1620863553,6362,1.325418,0.000000,0.000000,0.000000,events/second
1620863583,6382,1.321326,0.000000,0.000000,0.000000,events/second
1620863613,6422,1.321401,0.000000,0.000000,0.000000,events/second
1620863643,6442,1.317384,0.000000,0.000000,0.000000,events/second
1620863673,6482,1.317483,0.000000,0.000000,0.000000,events/second
1620863703,6502,1.313537,0.000000,0.000000,0.000000,events/second
1620863733,6542,1.313656,0.000000,0.000000,0.000000,events/second
1620863763,6562,1.309782,0.000000,0.000000,0.000000,events/second
1620863793,6602,1.309922,0.000000,0.000000,0.000000,events/second
1620863823,6622,1.306116,0.000000,0.000000,0.000000,events/second
1620863853,6662,1.306276,0.000000,0.000000,0.000000,events/second
1620863883,6682,1.302536,0.000000,0.000000,0.000000,events/second
