t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1620858783,2,0.064301,0.000000,0.000000,0.000000,events/second
1620858813,4,0.065887,0.000000,0.000000,0.000000,events/second
1620858843,5,0.055124,0.000000,0.000000,0.000000,events/second
1620858873,7,0.057993,0.000000,0.000000,0.000000,events/second
1620858903,8,0.053083,0.000000,0.000000,0.000000,events/second
1620858933,10,0.055340,0.000000,0.000000,0.000000,events/second
1620858963,11,0.052206,0.000000,0.000000,0.000000,events/second
1620858993,13,0.054008,0.000000,0.000000,0.000000,events/second
1620859023,14,0.051717,0.000000,0.000000,0.000000,events/second
1620859053,16,0.053209,0.000000,0.000000,0.000000,events/second
1620859083,17,0.051406,0.000000,0.000000,0.000000,events/second
1620859113,19,0.052675,0.000000,0.000000,0.000000,events/second
1620859143,20,0.051190,0.000000,0.000000,0.000000,events/second
1620859173,22,0.052294,0.000000,0.000000,0.000000,events/second
1620859203,23,0.051031,0.000000,0.000000,0.000000,events/second
1620859233,25,0.052007,0.000000,0.000000,0.000000,events/second
1620859263,26,0.050910,0.000000,0.000000,0.000000,events/second
1620859293,28,0.051785,0.000000,0.000000,0.000000,events/second
1620859323,29,0.050815,0.000000,0.000000,0.000000,events/second
1620859353,35,0.058265,0.000000,0.000000,0.000000,events/second
1620859383,40,0.063421,0.000000,0.000000,0.000000,events/second
1620859413,44,0.066596,0.000000,0.000000,0.000000,events/second
1620859443,46,0.066599,0.000000,0.000000,0.000000,events/second
1620859473,50,0.069377,0.000000,0.000000,0.000000,events/second
1620859503,52,0.069269,0.000000,0.000000,0.000000,events/second
1620859533,54,0.069169,0.000000,0.000000,0.000000,events/second
1620859563,55,0.067843,0.000000,0.000000,0.000000,events/second
1620859593,58,0.068990,0.000000,0.000000,0.000000,events/second
1620859623,59,0.067762,0.000000,0.000000,0.000000,events/second
1620859653,61,0.067725,0.000000,0.000000,0.000000,events/second
1620859683,63,0.067691,0.000000,0.000000,0.000000,events/second
1620859713,67,0.069741,0.000000,0.000000,0.000000,events/second
1620859743,71,0.071666,0.000000,0.000000,0.000000,events/second
1620859773,74,0.072499,0.000000,0.000000,0.000000,events/second
1620859803,75,0.071381,0.000000,0.000000,0.000000,events/second
1620859833,77,0.071250,0.000000,0.000000,0.000000,events/second
1620859863,78,0.070226,0.000000,0.000000,0.000000,events/second
1620859893,80,0.070132,0.000000,0.000000,0.000000,events/second
1620859923,81,0.069189,0.000000,0.000000,0.000000,events/second
1620859953,83,0.069126,0.000000,0.000000,0.000000,events/second
1620859983,84,0.068254,0.000000,0.000000,0.000000,events/second
1620860013,86,0.068216,0.000000,0.000000,0.000000,events/second
1620860043,87,0.067405,0.000000,0.000000,0.000000,events/second
1620860073,94,0.071174,0.000000,0.000000,0.000000,events/second
1620860103,103,0.076257,0.000000,0.000000,0.000000,events/second
1620860133,105,0.076048,0.000000,0.000000,0.000000,events/second
1620860163,106,0.075140,0.000000,0.000000,0.000000,events/second
1620860193,108,0.074964,0.000000,0.000000,0.000000,events/second
1620860223,109,0.074114,0.000000,0.000000,0.000000,events/second
1620860253,114,0.075965,0.000000,0.000000,0.000000,events/second
1620860283,116,0.075782,0.000000,0.000000,0.000000,events/second
1620860313,126,0.080733,0.000000,0.000000,0.000000,events/second
1620860343,136,0.085497,0.000000,0.000000,0.000000,events/second
1620860373,145,0.089467,0.000000,0.000000,0.000000,events/second
1620860403,150,0.090870,0.000000,0.000000,0.000000,events/second
1620860433,165,0.098173,0.000000,0.000000,0.000000,events/second
1620860463,166,0.097036,0.000000,0.000000,0.000000,events/second
1620860493,168,0.096513,0.000000,0.000000,0.000000,events/second
1620860523,169,0.095442,0.000000,0.000000,0.000000,events/second
1620860553,171,0.094963,0.000000,0.000000,0.000000,events/second
1620860583,172,0.093953,0.000000,0.000000,0.000000,events/second
1620860613,174,0.093513,0.000000,0.000000,0.000000,events/second
1620860643,175,0.092558,0.000000,0.000000,0.000000,events/second
1620860673,181,0.094236,0.000000,0.000000,0.000000,events/second
1620860703,182,0.093300,0.000000,0.000000,0.000000,events/second
1620860733,184,0.092897,0.000000,0.000000,0.000000,events/second
1620860763,185,0.092008,0.000000,0.000000,0.000000,events/second
1620860793,187,0.091635,0.000000,0.000000,0.000000,events/second
1620860823,188,0.090791,0.000000,0.000000,0.000000,events/second
1620860853,198,0.094254,0.000000,0.000000,0.000000,events/second
1620860883,199,0.093396,0.000000,0.000000,0.000000,events/second
1620860913,201,0.093025,0.000000,0.000000,0.000000,events/second
1620860943,202,0.092208,0.000000,0.000000,0.000000,events/second
1620860973,204,0.091863,0.000000,0.000000,0.000000,events/second
1620861003,208,0.092416,0.000000,0.000000,0.000000,events/second
1620861033,221,0.096900,0.000000,0.000000,0.000000,events/second
1620861063,226,0.097806,0.000000,0.000000,0.000000,events/second
1620861093,234,0.099970,0.000000,0.000000,0.000000,events/second
1620861123,238,0.100392,0.000000,0.000000,0.000000,events/second
1620861153,240,0.099971,0.000000,0.000000,0.000000,events/second
1620861183,241,0.099148,0.000000,0.000000,0.000000,events/second
1620861213,243,0.098752,0.000000,0.000000,0.000000,events/second
1620861243,245,0.098366,0.000000,0.000000,0.000000,events/second
1620861273,247,0.097989,0.000000,0.000000,0.000000,events/second
1620861303,248,0.097228,0.000000,0.000000,0.000000,events/second
1620861333,250,0.096873,0.000000,0.000000,0.000000,events/second
1620861363,251,0.096143,0.000000,0.000000,0.000000,events/second
1620861393,253,0.095808,0.000000,0.000000,0.000000,events/second
1620861423,254,0.095106,0.000000,0.000000,0.000000,events/second
1620861453,256,0.094790,0.000000,0.000000,0.000000,events/second
1620861483,257,0.094115,0.000000,0.000000,0.000000,events/second
1620861513,259,0.093817,0.000000,0.000000,0.000000,events/second
1620861543,260,0.093167,0.000000,0.000000,0.000000,events/second
