t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1620858783,2,0.064283,0.000000,0.000000,0.000000,events/second
1620858813,4,0.065888,0.000000,0.000000,0.000000,events/second
1620858843,5,0.055124,0.000000,0.000000,0.000000,events/second
1620858873,7,0.057993,0.000000,0.000000,0.000000,events/second
1620858903,8,0.053083,0.000000,0.000000,0.000000,events/second
1620858933,10,0.055340,0.000000,0.000000,0.000000,events/second
1620858963,11,0.052206,0.000000,0.000000,0.000000,events/second
1620858993,13,0.054008,0.000000,0.000000,0.000000,events/second
1620859023,14,0.051717,0.000000,0.000000,0.000000,events/second
1620859053,16,0.053209,0.000000,0.000000,0.000000,events/second
1620859083,17,0.051406,0.000000,0.000000,0.000000,events/second
1620859113,19,0.052675,0.000000,0.000000,0.000000,events/second
1620859143,20,0.051190,0.000000,0.000000,0.000000,events/second
1620859173,22,0.052294,0.000000,0.000000,0.000000,events/second
1620859203,23,0.051031,0.000000,0.000000,0.000000,events/second
1620859233,25,0.052007,0.000000,0.000000,0.000000,events/second
1620859263,26,0.050910,0.000000,0.000000,0.000000,events/second
1620859293,28,0.051785,0.000000,0.000000,0.000000,events/second
1620859323,29,0.050815,0.000000,0.000000,0.000000,events/second
1620859353,35,0.058265,0.000000,0.000000,0.000000,events/second
1620859383,39,0.061836,0.000000,0.000000,0.000000,events/second
1620859413,42,0.063569,0.000000,0.000000,0.000000,events/second
1620859443,44,0.063704,0.000000,0.000000,0.000000,events/second
1620859473,48,0.066602,0.000000,0.000000,0.000000,events/second
1620859503,50,0.066605,0.000000,0.000000,0.000000,events/second
1620859533,52,0.066607,0.000000,0.000000,0.000000,events/second
1620859563,53,0.065376,0.000000,0.000000,0.000000,events/second
1620859593,56,0.066611,0.000000,0.000000,0.000000,events/second
1620859623,57,0.065465,0.000000,0.000000,0.000000,events/second
1620859653,59,0.065505,0.000000,0.000000,0.000000,events/second
1620859683,61,0.065542,0.000000,0.000000,0.000000,events/second
1620859713,64,0.066618,0.000000,0.000000,0.000000,events/second
1620859743,68,0.068638,0.000000,0.000000,0.000000,events/second
1620859773,71,0.069560,0.000000,0.000000,0.000000,events/second
1620859803,72,0.068526,0.000000,0.000000,0.000000,events/second
1620859833,74,0.068474,0.000000,0.000000,0.000000,events/second
1620859863,75,0.067525,0.000000,0.000000,0.000000,events/second
1620859893,77,0.067503,0.000000,0.000000,0.000000,events/second
1620859923,78,0.066627,0.000000,0.000000,0.000000,events/second
1620859953,80,0.066628,0.000000,0.000000,0.000000,events/second
1620859983,81,0.065816,0.000000,0.000000,0.000000,events/second
1620860013,83,0.065836,0.000000,0.000000,0.000000,events/second
1620860043,84,0.065081,0.000000,0.000000,0.000000,events/second
1620860073,89,0.067388,0.000000,0.000000,0.000000,events/second
1620860103,96,0.071074,0.000000,0.000000,0.000000,events/second
1620860133,98,0.070979,0.000000,0.000000,0.000000,events/second
1620860163,99,0.070178,0.000000,0.000000,0.000000,events/second
1620860193,101,0.070105,0.000000,0.000000,0.000000,events/second
1620860223,102,0.069355,0.000000,0.000000,0.000000,events/second
1620860253,107,0.071300,0.000000,0.000000,0.000000,events/second
1620860283,109,0.071209,0.000000,0.000000,0.000000,events/second
1620860313,119,0.076248,0.000000,0.000000,0.000000,events/second
1620860343,129,0.081096,0.000000,0.000000,0.000000,events/second
1620860373,136,0.083914,0.000000,0.000000,0.000000,events/second
1620860403,141,0.085418,0.000000,0.000000,0.000000,events/second
1620860433,154,0.091628,0.000000,0.000000,0.000000,events/second
1620860463,155,0.090606,0.000000,0.000000,0.000000,events/second
1620860493,157,0.090194,0.000000,0.000000,0.000000,events/second
1620860523,158,0.089230,0.000000,0.000000,0.000000,events/second
1620860553,160,0.088854,0.000000,0.000000,0.000000,events/second
1620860583,161,0.087944,0.000000,0.000000,0.000000,events/second
1620860613,163,0.087601,0.000000,0.000000,0.000000,events/second
1620860643,164,0.086740,0.000000,0.000000,0.000000,events/second
1620860673,170,0.088509,0.000000,0.000000,0.000000,events/second
1620860703,171,0.087661,0.000000,0.000000,0.000000,events/second
1620860733,173,0.087343,0.000000,0.000000,0.000000,events/second
1620860763,174,0.086537,0.000000,0.000000,0.000000,events/second
1620860793,176,0.086245,0.000000,0.000000,0.000000,events/second
1620860823,177,0.085478,0.000000,0.000000,0.000000,events/second
1620860853,187,0.089018,0.000000,0.000000,0.000000,events/second
1620860883,188,0.088234,0.000000,0.000000,0.000000,events/second
1620860913,190,0.087934,0.000000,0.000000,0.000000,events/second
1620860943,191,0.087187,0.000000,0.000000,0.000000,events/second
1620860973,193,0.086910,0.000000,0.000000,0.000000,events/second
1620861003,197,0.087528,0.000000,0.000000,0.000000,events/second
1620861033,206,0.090323,0.000000,0.000000,0.000000,events/second
1620861063,211,0.091314,0.000000,0.000000,0.000000,events/second
1620861093,217,0.092707,0.000000,0.000000,0.000000,events/second
1620861123,221,0.093221,0.000000,0.000000,0.000000,events/second
1620861153,223,0.092890,0.000000,0.000000,0.000000,events/second
1620861183,224,0.092154,0.000000,0.000000,0.000000,events/second
1620861213,226,0.091844,0.000000,0.000000,0.000000,events/second
1620861243,228,0.091540,0.000000,0.000000,0.000000,events/second
1620861273,230,0.091244,0.000000,0.000000,0.000000,events/second
1620861303,231,0.090563,0.000000,0.000000,0.000000,events/second
1620861333,233,0.090286,0.000000,0.000000,0.000000,events/second
1620861363,234,0.089631,0.000000,0.000000,0.000000,events/second
1620861393,236,0.089370,0.000000,0.000000,0.000000,events/second
1620861423,237,0.088741,0.000000,0.000000,0.000000,events/second
1620861453,239,0.088496,0.000000,0.000000,0.000000,events/second
1620861483,240,0.087890,0.000000,0.000000,0.000000,events/second
1620861513,242,0.087659,0.000000,0.000000,0.000000,events/second
1620861543,243,0.087075,0.000000,0.000000,0.000000,events/second
1620861573,245,0.086858,0.000000,0.000000,0.000000,events/second
1620861603,252,0.088399,0.000000,0.000000,0.000000,events/second
1620861633,260,0.090256,0.000000,0.000000,0.000000,events/second
1620861663,264,0.090700,0.000000,0.000000,0.000000,events/second
1620861693,266,0.090455,0.000000,0.000000,0.000000,events/second
1620861723,267,0.089878,0.000000,0.000000,0.000000,events/second
1620861753,269,0.089646,0.000000,0.000000,0.000000,events/second
1620861783,270,0.089088,0.000000,0.000000,0.000000,events/second
1620861813,272,0.088869,0.000000,0.000000,0.000000,events/second
1620861843,273,0.088330,0.000000,0.000000,0.000000,events/second
1620861873,275,0.088121,0.000000,0.000000,0.000000,events/second
1620861903,276,0.087600,0.000000,0.000000,0.000000,events/second
1620861933,279,0.087716,0.000000,0.000000,0.000000,events/second
1620861963,283,0.088143,0.000000,0.000000,0.000000,events/second
1620861993,289,0.089178,0.000000,0.000000,0.000000,events/second
1620862023,293,0.089583,0.000000,0.000000,0.000000,events/second
1620862053,295,0.089375,0.000000,0.000000,0.000000,events/second
1620862083,296,0.088870,0.000000,0.000000,0.000000,events/second
1620862113,298,0.088672,0.000000,0.000000,0.000000,events/second
1620862143,302,0.089067,0.000000,0.000000,0.000000,events/second
1620862173,304,0.088871,0.000000,0.000000,0.000000,events/second
1620862203,305,0.088388,0.000000,0.000000,0.000000,events/second
1620862233,307,0.088201,0.000000,0.000000,0.000000,events/second
1620862263,308,0.087732,0.000000,0.000000,0.000000,events/second
