t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1620858783,0,0.000000,0.000000,0.000000,0.000000,events/second
1620858813,0,0.000000,0.000000,0.000000,0.000000,events/second
1620858843,0,0.000000,0.000000,0.000000,0.000000,events/second
1620858873,0,0.000000,0.000000,0.000000,0.000000,events/second
1620858903,0,0.000000,0.000000,0.000000,0.000000,events/second
1620858933,0,0.000000,0.000000,0.000000,0.000000,events/second
1620858963,0,0.000000,0.000000,0.000000,0.000000,events/second
1620858993,0,0.000000,0.000000,0.000000,0.000000,events/second
1620859023,0,0.000000,0.000000,0.000000,0.000000,events/second
1620859053,0,0.000000,0.000000,0.000000,0.000000,events/second
1620859083,0,0.000000,0.000000,0.000000,0.000000,events/second
1620859113,0,0.000000,0.000000,0.000000,0.000000,events/second
1620859143,0,0.000000,0.000000,0.000000,0.000000,events/second
1620859173,0,0.000000,0.000000,0.000000,0.000000,events/second
1620859203,0,0.000000,0.000000,0.000000,0.000000,events/second
1620859233,0,0.000000,0.000000,0.000000,0.000000,events/second
1620859263,0,0.000000,0.000000,0.000000,0.000000,events/second
1620859293,0,0.000000,0.000000,0.000000,0.000000,events/second
1620859323,0,0.000000,0.000000,0.000000,0.000000,events/second
1620859353,0,0.000000,0.000000,0.000000,0.000000,events/second
1620859383,1,0.001586,0.000000,0.000000,0.000000,events/second
1620859413,2,0.003027,0.000000,0.000000,0.000000,events/second
1620859443,2,0.002896,0.000000,0.000000,0.000000,events/second
1620859473,2,0.002775,0.000000,0.000000,0.000000,events/second
1620859503,2,0.002664,0.000000,0.000000,0.000000,events/second
1620859533,2,0.002562,0.000000,0.000000,0.000000,events/second
1620859563,2,0.002467,0.000000,0.000000,0.000000,events/second
1620859593,2,0.002379,0.000000,0.000000,0.000000,events/second
1620859623,2,0.002297,0.000000,0.000000,0.000000,events/second
1620859653,2,0.002220,0.000000,0.000000,0.000000,events/second
1620859683,2,0.002149,0.000000,0.000000,0.000000,events/second
1620859713,3,0.003123,0.000000,0.000000,0.000000,events/second
