t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1620858783,1,0.032128,0.000000,0.000000,0.000000,events/second
1620858813,1,0.016472,0.000000,0.000000,0.000000,events/second
1620858843,1,0.011025,0.000000,0.000000,0.000000,events/second
1620858873,1,0.008285,0.000000,0.000000,0.000000,events/second
1620858903,1,0.006635,0.000000,0.000000,0.000000,events/second
1620858933,1,0.005534,0.000000,0.000000,0.000000,events/second
1620858963,1,0.004746,0.000000,0.000000,0.000000,events/second
1620858993,1,0.004154,0.000000,0.000000,0.000000,events/second
1620859023,1,0.003694,0.000000,0.000000,0.000000,events/second
1620859053,1,0.003326,0.000000,0.000000,0.000000,events/second
1620859083,1,0.003024,0.000000,0.000000,0.000000,events/second
1620859113,1,0.002772,0.000000,0.000000,0.000000,events/second
1620859143,1,0.002559,0.000000,0.000000,0.000000,events/second
1620859173,1,0.002377,0.000000,0.000000,0.000000,events/second
1620859203,1,0.002219,0.000000,0.000000,0.000000,events/second
1620859233,1,0.002080,0.000000,0.000000,0.000000,events/second
1620859263,1,0.001958,0.000000,0.000000,0.000000,events/second
1620859293,1,0.001849,0.000000,0.000000,0.000000,events/second
1620859323,1,0.001752,0.000000,0.000000,0.000000,events/second
1620859353,1,0.001665,0.000000,0.000000,0.000000,events/second
1620859383,2,0.003171,0.000000,0.000000,0.000000,events/second
1620859413,3,0.004541,0.000000,0.000000,0.000000,events/second
1620859443,3,0.004343,0.000000,0.000000,0.000000,events/second
1620859473,3,0.004163,0.000000,0.000000,0.000000,events/second
1620859503,3,0.003996,0.000000,0.000000,0.000000,events/second
1620859533,3,0.003843,0.000000,0.000000,0.000000,events/second
1620859563,3,0.003701,0.000000,0.000000,0.000000,events/second
1620859593,3,0.003568,0.000000,0.000000,0.000000,events/second
1620859623,3,0.003446,0.000000,0.000000,0.000000,events/second
1620859653,3,0.003331,0.000000,0.000000,0.000000,events/second
1620859683,3,0.003223,0.000000,0.000000,0.000000,events/second
1620859713,4,0.004164,0.000000,0.000000,0.000000,events/second
1620859743,4,0.004038,0.000000,0.000000,0.000000,events/second
1620859773,4,0.003919,0.000000,0.000000,0.000000,events/second
1620859803,4,0.003807,0.000000,0.000000,0.000000,events/second
1620859833,4,0.003701,0.000000,0.000000,0.000000,events/second
1620859863,4,0.003601,0.000000,0.000000,0.000000,events/second
1620859893,4,0.003507,0.000000,0.000000,0.000000,events/second
1620859923,4,0.003417,0.000000,0.000000,0.000000,events/second
1620859953,4,0.003331,0.000000,0.000000,0.000000,events/second
1620859983,4,0.003250,0.000000,0.000000,0.000000,events/second
1620860013,4,0.003173,0.000000,0.000000,0.000000,events/second
1620860043,4,0.003099,0.000000,0.000000,0.000000,events/second
1620860073,6,0.004543,0.000000,0.000000,0.000000,events/second
1620860103,8,0.005923,0.000000,0.000000,0.000000,events/second
1620860133,8,0.005794,0.000000,0.000000,0.000000,events/second
1620860163,8,0.005671,0.000000,0.000000,0.000000,events/second
1620860193,8,0.005553,0.000000,0.000000,0.000000,events/second
1620860223,8,0.005440,0.000000,0.000000,0.000000,events/second
1620860253,8,0.005331,0.000000,0.000000,0.000000,events/second
1620860283,8,0.005226,0.000000,0.000000,0.000000,events/second
1620860313,8,0.005126,0.000000,0.000000,0.000000,events/second
1620860343,8,0.005029,0.000000,0.000000,0.000000,events/second
1620860373,10,0.006170,0.000000,0.000000,0.000000,events/second
1620860403,10,0.006058,0.000000,0.000000,0.000000,events/second
1620860433,12,0.007140,0.000000,0.000000,0.000000,events/second
1620860463,12,0.007015,0.000000,0.000000,0.000000,events/second
1620860493,12,0.006894,0.000000,0.000000,0.000000,events/second
1620860523,12,0.006777,0.000000,0.000000,0.000000,events/second
1620860553,12,0.006664,0.000000,0.000000,0.000000,events/second
