t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1620858783,1,0.032119,0.000000,0.000000,0.000000,events/second
1620858813,1,0.016471,0.000000,0.000000,0.000000,events/second
1620858843,1,0.011025,0.000000,0.000000,0.000000,events/second
1620858873,1,0.008285,0.000000,0.000000,0.000000,events/second
1620858903,1,0.006635,0.000000,0.000000,0.000000,events/second
1620858933,1,0.005534,0.000000,0.000000,0.000000,events/second
1620858963,1,0.004746,0.000000,0.000000,0.000000,events/second
1620858993,1,0.004154,0.000000,0.000000,0.000000,events/second
1620859023,1,0.003694,0.000000,0.000000,0.000000,events/second
1620859053,1,0.003326,0.000000,0.000000,0.000000,events/second
1620859083,1,0.003024,0.000000,0.000000,0.000000,events/second
1620859113,1,0.002772,0.000000,0.000000,0.000000,events/second
1620859143,1,0.002559,0.000000,0.000000,0.000000,events/second
1620859173,1,0.002377,0.000000,0.000000,0.000000,events/second
1620859203,1,0.002219,0.000000,0.000000,0.000000,events/second
1620859233,1,0.002080,0.000000,0.000000,0.000000,events/second
1620859263,1,0.001958,0.000000,0.000000,0.000000,events/second
1620859293,1,0.001849,0.000000,0.000000,0.000000,events/second
1620859323,1,0.001752,0.000000,0.000000,0.000000,events/second
1620859353,1,0.001665,0.000000,0.000000,0.000000,events/second
1620859383,1,0.001586,0.000000,0.000000,0.000000,events/second
1620859413,1,0.001514,0.000000,0.000000,0.000000,events/second
1620859443,1,0.001448,0.000000,0.000000,0.000000,events/second
1620859473,1,0.001388,0.000000,0.000000,0.000000,events/second
1620859503,1,0.001332,0.000000,0.000000,0.000000,events/second
1620859533,1,0.001281,0.000000,0.000000,0.000000,events/second
1620859563,1,0.001233,0.000000,0.000000,0.000000,events/second
1620859593,1,0.001189,0.000000,0.000000,0.000000,events/second
1620859623,1,0.001148,0.000000,0.000000,0.000000,events/second
1620859653,1,0.001110,0.000000,0.000000,0.000000,events/second
1620859683,1,0.001074,0.000000,0.000000,0.000000,events/second
1620859713,1,0.001041,0.000000,0.000000,0.000000,events/second
1620859743,1,0.001009,0.000000,0.000000,0.000000,events/second
1620859773,1,0.000980,0.000000,0.000000,0.000000,events/second
1620859803,1,0.000952,0.000000,0.000000,0.000000,events/second
1620859833,1,0.000925,0.000000,0.000000,0.000000,events/second
1620859863,1,0.000900,0.000000,0.000000,0.000000,events/second
1620859893,1,0.000877,0.000000,0.000000,0.000000,events/second
1620859923,1,0.000854,0.000000,0.000000,0.000000,events/second
1620859953,1,0.000833,0.000000,0.000000,0.000000,events/second
1620859983,1,0.000813,0.000000,0.000000,0.000000,events/second
1620860013,1,0.000793,0.000000,0.000000,0.000000,events/second
1620860043,1,0.000775,0.000000,0.000000,0.000000,events/second
1620860073,2,0.001514,0.000000,0.000000,0.000000,events/second
1620860103,2,0.001481,0.000000,0.000000,0.000000,events/second
1620860133,2,0.001449,0.000000,0.000000,0.000000,events/second
1620860163,2,0.001418,0.000000,0.000000,0.000000,events/second
1620860193,2,0.001388,0.000000,0.000000,0.000000,events/second
1620860223,2,0.001360,0.000000,0.000000,0.000000,events/second
1620860253,2,0.001333,0.000000,0.000000,0.000000,events/second
1620860283,2,0.001307,0.000000,0.000000,0.000000,events/second
1620860313,2,0.001281,0.000000,0.000000,0.000000,events/second
1620860343,2,0.001257,0.000000,0.000000,0.000000,events/second
1620860373,2,0.001234,0.000000,0.000000,0.000000,events/second
1620860403,2,0.001212,0.000000,0.000000,0.000000,events/second
1620860433,2,0.001190,0.000000,0.000000,0.000000,events/second
1620860463,2,0.001169,0.000000,0.000000,0.000000,events/second
1620860493,2,0.001149,0.000000,0.000000,0.000000,events/second
1620860523,2,0.001129,0.000000,0.000000,0.000000,events/second
1620860553,2,0.001111,0.000000,0.000000,0.000000,events/second
1620860583,2,0.001092,0.000000,0.000000,0.000000,events/second
1620860613,2,0.001075,0.000000,0.000000,0.000000,events/second
1620860643,2,0.001058,0.000000,0.000000,0.000000,events/second
1620860673,2,0.001041,0.000000,0.000000,0.000000,events/second
1620860703,2,0.001025,0.000000,0.000000,0.000000,events/second
1620860733,2,0.001010,0.000000,0.000000,0.000000,events/second
1620860763,2,0.000995,0.000000,0.000000,0.000000,events/second
1620860793,2,0.000980,0.000000,0.000000,0.000000,events/second
1620860823,2,0.000966,0.000000,0.000000,0.000000,events/second
1620860853,2,0.000952,0.000000,0.000000,0.000000,events/second
1620860883,2,0.000939,0.000000,0.000000,0.000000,events/second
1620860913,2,0.000926,0.000000,0.000000,0.000000,events/second
1620860943,2,0.000913,0.000000,0.000000,0.000000,events/second
1620860973,2,0.000901,0.000000,0.000000,0.000000,events/second
1620861003,2,0.000889,0.000000,0.000000,0.000000,events/second
1620861033,2,0.000877,0.000000,0.000000,0.000000,events/second
1620861063,2,0.000866,0.000000,0.000000,0.000000,events/second
1620861093,2,0.000854,0.000000,0.000000,0.000000,events/second
1620861123,2,0.000844,0.000000,0.000000,0.000000,events/second
1620861153,2,0.000833,0.000000,0.000000,0.000000,events/second
1620861183,2,0.000823,0.000000,0.000000,0.000000,events/second
1620861213,2,0.000813,0.000000,0.000000,0.000000,events/second
1620861243,2,0.000803,0.000000,0.000000,0.000000,events/second
1620861273,2,0.000793,0.000000,0.000000,0.000000,events/second
1620861303,2,0.000784,0.000000,0.000000,0.000000,events/second
1620861333,2,0.000775,0.000000,0.000000,0.000000,events/second
1620861363,2,0.000766,0.000000,0.000000,0.000000,events/second
1620861393,2,0.000757,0.000000,0.000000,0.000000,events/second
1620861423,2,0.000749,0.000000,0.000000,0.000000,events/second
1620861453,2,0.000741,0.000000,0.000000,0.000000,events/second
1620861483,2,0.000732,0.000000,0.000000,0.000000,events/second
1620861513,2,0.000724,0.000000,0.000000,0.000000,events/second
1620861543,2,0.000717,0.000000,0.000000,0.000000,events/second
1620861573,2,0.000709,0.000000,0.000000,0.000000,events/second
1620861603,2,0.000702,0.000000,0.000000,0.000000,events/second
1620861633,2,0.000694,0.000000,0.000000,0.000000,events/second
1620861663,2,0.000687,0.000000,0.000000,0.000000,events/second
1620861693,2,0.000680,0.000000,0.000000,0.000000,events/second
1620861723,2,0.000673,0.000000,0.000000,0.000000,events/second
1620861753,2,0.000667,0.000000,0.000000,0.000000,events/second
1620861783,2,0.000660,0.000000,0.000000,0.000000,events/second
1620861813,2,0.000653,0.000000,0.000000,0.000000,events/second
1620861843,2,0.000647,0.000000,0.000000,0.000000,events/second
1620861873,2,0.000641,0.000000,0.000000,0.000000,events/second
1620861903,2,0.000635,0.000000,0.000000,0.000000,events/second
1620861933,2,0.000629,0.000000,0.000000,0.000000,events/second
1620861963,2,0.000623,0.000000,0.000000,0.000000,events/second
1620861993,2,0.000617,0.000000,0.000000,0.000000,events/second
1620862023,2,0.000611,0.000000,0.000000,0.000000,events/second
1620862053,2,0.000606,0.000000,0.000000,0.000000,events/second
1620862083,2,0.000600,0.000000,0.000000,0.000000,events/second
1620862113,2,0.000595,0.000000,0.000000,0.000000,events/second
1620862143,2,0.000590,0.000000,0.000000,0.000000,events/second
1620862173,2,0.000585,0.000000,0.000000,0.000000,events/second
1620862203,2,0.000580,0.000000,0.000000,0.000000,events/second
1620862233,2,0.000575,0.000000,0.000000,0.000000,events/second
1620862263,2,0.000570,0.000000,0.000000,0.000000,events/second
1620862293,2,0.000565,0.000000,0.000000,0.000000,events/second
1620862323,2,0.000560,0.000000,0.000000,0.000000,events/second
1620862353,2,0.000555,0.000000,0.000000,0.000000,events/second
1620862383,2,0.000551,0.000000,0.000000,0.000000,events/second
1620862413,2,0.000546,0.000000,0.000000,0.000000,events/second
1620862443,2,0.000542,0.000000,0.000000,0.000000,events/second
1620862473,2,0.000538,0.000000,0.000000,0.000000,events/second
1620862503,2,0.000533,0.000000,0.000000,0.000000,events/second
1620862533,2,0.000529,0.000000,0.000000,0.000000,events/second
1620862563,2,0.000525,0.000000,0.000000,0.000000,events/second
1620862593,2,0.000521,0.000000,0.000000,0.000000,events/second
1620862623,2,0.000517,0.000000,0.000000,0.000000,events/second
1620862653,2,0.000513,0.000000,0.000000,0.000000,events/second
1620862683,2,0.000509,0.000000,0.000000,0.000000,events/second
1620862713,2,0.000505,0.000000,0.000000,0.000000,events/second
1620862743,2,0.000501,0.000000,0.000000,0.000000,events/second
1620862773,2,0.000497,0.000000,0.000000,0.000000,events/second
1620862803,2,0.000494,0.000000,0.000000,0.000000,events/second
1620862833,2,0.000490,0.000000,0.000000,0.000000,events/second
1620862863,2,0.000487,0.000000,0.000000,0.000000,events/second
1620862893,2,0.000483,0.000000,0.000000,0.000000,events/second
1620862923,2,0.000480,0.000000,0.000000,0.000000,events/second
1620862953,2,0.000476,0.000000,0.000000,0.000000,events/second
1620862983,2,0.000473,0.000000,0.000000,0.000000,events/second
1620863013,2,0.000469,0.000000,0.000000,0.000000,events/second
1620863043,2,0.000466,0.000000,0.000000,0.000000,events/second
1620863073,2,0.000463,0.000000,0.000000,0.000000,events/second
1620863103,2,0.000460,0.000000,0.000000,0.000000,events/second
1620863133,2,0.000457,0.000000,0.000000,0.000000,events/second
1620863163,2,0.000453,0.000000,0.000000,0.000000,events/second
1620863193,2,0.000450,0.000000,0.000000,0.000000,events/second
1620863223,2,0.000447,0.000000,0.000000,0.000000,events/second
1620863253,2,0.000444,0.000000,0.000000,0.000000,events/second
1620863283,2,0.000441,0.000000,0.000000,0.000000,events/second
1620863313,2,0.000439,0.000000,0.000000,0.000000,events/second
1620863343,2,0.000436,0.000000,0.000000,0.000000,events/second
1620863373,2,0.000433,0.000000,0.000000,0.000000,events/second
1620863403,2,0.000430,0.000000,0.000000,0.000000,events/second
1620863433,2,0.000427,0.000000,0.000000,0.000000,events/second
1620863463,2,0.000425,0.000000,0.000000,0.000000,events/second
1620863493,2,0.000422,0.000000,0.000000,0.000000,events/second
1620863523,2,0.000419,0.000000,0.000000,0.000000,events/second
1620863553,2,0.000417,0.000000,0.000000,0.000000,events/second
1620863583,2,0.000414,0.000000,0.000000,0.000000,events/second
