t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1620858783,1,0.032108,0.000000,0.000000,0.000000,events/second
1620858813,1,0.016472,0.000000,0.000000,0.000000,events/second
1620858843,1,0.011025,0.000000,0.000000,0.000000,events/second
1620858873,1,0.008285,0.000000,0.000000,0.000000,events/second
1620858903,1,0.006635,0.000000,0.000000,0.000000,events/second
1620858933,1,0.005534,0.000000,0.000000,0.000000,events/second
1620858963,1,0.004746,0.000000,0.000000,0.000000,events/second
1620858993,1,0.004154,0.000000,0.000000,0.000000,events/second
1620859023,1,0.003694,0.000000,0.000000,0.000000,events/second
1620859053,1,0.003326,0.000000,0.000000,0.000000,events/second
1620859083,1,0.003024,0.000000,0.000000,0.000000,events/second
1620859113,1,0.002772,0.000000,0.000000,0.000000,events/second
1620859143,1,0.002559,0.000000,0.000000,0.000000,events/second
1620859173,1,0.002377,0.000000,0.000000,0.000000,events/second
1620859203,1,0.002219,0.000000,0.000000,0.000000,events/second
1620859233,1,0.002080,0.000000,0.000000,0.000000,events/second
1620859263,1,0.001958,0.000000,0.000000,0.000000,events/second
1620859293,1,0.001849,0.000000,0.000000,0.000000,events/second
1620859323,1,0.001752,0.000000,0.000000,0.000000,events/second
1620859353,1,0.001665,0.000000,0.000000,0.000000,events/second
1620859383,1,0.001586,0.000000,0.000000,0.000000,events/second
1620859413,1,0.001514,0.000000,0.000000,0.000000,events/second
1620859443,1,0.001448,0.000000,0.000000,0.000000,events/second
1620859473,1,0.001388,0.000000,0.000000,0.000000,events/second
1620859503,1,0.001332,0.000000,0.000000,0.000000,events/second
1620859533,1,0.001281,0.000000,0.000000,0.000000,events/second
1620859563,1,0.001234,0.000000,0.000000,0.000000,events/second
1620859593,1,0.001189,0.000000,0.000000,0.000000,events/second
1620859623,1,0.001149,0.000000,0.000000,0.000000,events/second
1620859653,1,0.001110,0.000000,0.000000,0.000000,events/second
1620859683,1,0.001074,0.000000,0.000000,0.000000,events/second
1620859713,1,0.001041,0.000000,0.000000,0.000000,events/second
1620859743,1,0.001009,0.000000,0.000000,0.000000,events/second
1620859773,1,0.000980,0.000000,0.000000,0.000000,events/second
1620859803,1,0.000952,0.000000,0.000000,0.000000,events/second
1620859833,1,0.000925,0.000000,0.000000,0.000000,events/second
1620859863,1,0.000900,0.000000,0.000000,0.000000,events/second
1620859893,1,0.000877,0.000000,0.000000,0.000000,events/second
1620859923,1,0.000854,0.000000,0.000000,0.000000,events/second
1620859953,1,0.000833,0.000000,0.000000,0.000000,events/second
1620859983,1,0.000813,0.000000,0.000000,0.000000,events/second
1620860013,1,0.000793,0.000000,0.000000,0.000000,events/second
1620860043,1,0.000775,0.000000,0.000000,0.000000,events/second
1620860073,1,0.000757,0.000000,0.000000,0.000000,events/second
1620860103,1,0.000740,0.000000,0.000000,0.000000,events/second
1620860133,1,0.000724,0.000000,0.000000,0.000000,events/second
1620860163,1,0.000709,0.000000,0.000000,0.000000,events/second
1620860193,1,0.000694,0.000000,0.000000,0.000000,events/second
1620860223,1,0.000680,0.000000,0.000000,0.000000,events/second
1620860253,1,0.000666,0.000000,0.000000,0.000000,events/second
1620860283,1,0.000653,0.000000,0.000000,0.000000,events/second
1620860313,1,0.000641,0.000000,0.000000,0.000000,events/second
1620860343,1,0.000629,0.000000,0.000000,0.000000,events/second
1620860373,1,0.000617,0.000000,0.000000,0.000000,events/second
1620860403,1,0.000606,0.000000,0.000000,0.000000,events/second
1620860433,1,0.000595,0.000000,0.000000,0.000000,events/second
1620860463,1,0.000585,0.000000,0.000000,0.000000,events/second
1620860493,1,0.000574,0.000000,0.000000,0.000000,events/second
