t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1620858783,68,2.231717,0.000000,0.000000,0.000000,events/second
1620858813,68,1.133056,0.000000,0.000000,0.000000,events/second
1620858843,68,0.755479,0.000000,0.000000,0.000000,events/second
1620858873,68,0.566619,0.000000,0.000000,0.000000,events/second
1620858903,68,0.453300,0.000000,0.000000,0.000000,events/second
1620858933,68,0.377766,0.000000,0.000000,0.000000,events/second
1620858963,68,0.323797,0.000000,0.000000,0.000000,events/second
1620858993,68,0.283323,0.000000,0.000000,0.000000,events/second
1620859023,68,0.251843,0.000000,0.000000,0.000000,events/second
1620859053,68,0.226661,0.000000,0.000000,0.000000,events/second
1620859083,68,0.206057,0.000000,0.000000,0.000000,events/second
1620859113,68,0.188887,0.000000,0.000000,0.000000,events/second
1620859143,68,0.174356,0.000000,0.000000,0.000000,events/second
1620859173,68,0.161902,0.000000,0.000000,0.000000,events/second
1620859203,68,0.151109,0.000000,0.000000,0.000000,events/second
1620859233,68,0.141665,0.000000,0.000000,0.000000,events/second
1620859263,68,0.133331,0.000000,0.000000,0.000000,events/second
1620859293,68,0.125924,0.000000,0.000000,0.000000,events/second
1620859323,68,0.119297,0.000000,0.000000,0.000000,events/second
1620859353,68,0.113332,0.000000,0.000000,0.000000,events/second
1620859383,69,0.109523,0.000000,0.000000,0.000000,events/second
1620859413,69,0.104545,0.000000,0.000000,0.000000,events/second
1620859443,69,0.099999,0.000000,0.000000,0.000000,events/second
1620859473,69,0.095832,0.000000,0.000000,0.000000,events/second
1620859503,69,0.092000,0.000000,0.000000,0.000000,events/second
1620859533,69,0.088461,0.000000,0.000000,0.000000,events/second
1620859563,69,0.085185,0.000000,0.000000,0.000000,events/second
1620859593,69,0.082142,0.000000,0.000000,0.000000,events/second
1620859623,69,0.079310,0.000000,0.000000,0.000000,events/second
1620859653,69,0.076666,0.000000,0.000000,0.000000,events/second
1620859683,69,0.074193,0.000000,0.000000,0.000000,events/second
1620859713,69,0.071875,0.000000,0.000000,0.000000,events/second
1620859743,69,0.069697,0.000000,0.000000,0.000000,events/second
1620859773,69,0.067647,0.000000,0.000000,0.000000,events/second
1620859803,69,0.065714,0.000000,0.000000,0.000000,events/second
1620859833,69,0.063889,0.000000,0.000000,0.000000,events/second
1620859863,69,0.062162,0.000000,0.000000,0.000000,events/second
1620859893,69,0.060526,0.000000,0.000000,0.000000,events/second
1620859923,69,0.058974,0.000000,0.000000,0.000000,events/second
1620859953,69,0.057500,0.000000,0.000000,0.000000,events/second
1620859983,69,0.056097,0.000000,0.000000,0.000000,events/second
1620860013,69,0.054762,0.000000,0.000000,0.000000,events/second
1620860043,69,0.053488,0.000000,0.000000,0.000000,events/second
1620860073,72,0.054545,0.000000,0.000000,0.000000,events/second
1620860103,72,0.053333,0.000000,0.000000,0.000000,events/second
1620860133,74,0.053623,0.000000,0.000000,0.000000,events/second
1620860163,74,0.052482,0.000000,0.000000,0.000000,events/second
1620860193,74,0.051389,0.000000,0.000000,0.000000,events/second
1620860223,74,0.050340,0.000000,0.000000,0.000000,events/second
1620860253,74,0.049333,0.000000,0.000000,0.000000,events/second
1620860283,74,0.048366,0.000000,0.000000,0.000000,events/second
1620860313,74,0.047436,0.000000,0.000000,0.000000,events/second
1620860343,74,0.046541,0.000000,0.000000,0.000000,events/second
1620860373,74,0.045679,0.000000,0.000000,0.000000,events/second
1620860403,74,0.044848,0.000000,0.000000,0.000000,events/second
1620860433,74,0.044047,0.000000,0.000000,0.000000,events/second
1620860463,74,0.043275,0.000000,0.000000,0.000000,events/second
1620860493,74,0.042529,0.000000,0.000000,0.000000,events/second
1620860523,74,0.041808,0.000000,0.000000,0.000000,events/second
1620860553,74,0.041111,0.000000,0.000000,0.000000,events/second
1620860583,74,0.040437,0.000000,0.000000,0.000000,events/second
1620860613,74,0.039785,0.000000,0.000000,0.000000,events/second
1620860643,74,0.039153,0.000000,0.000000,0.000000,events/second
1620860673,74,0.038542,0.000000,0.000000,0.000000,events/second
1620860703,74,0.037949,0.000000,0.000000,0.000000,events/second
1620860733,74,0.037374,0.000000,0.000000,0.000000,events/second
1620860763,74,0.036816,0.000000,0.000000,0.000000,events/second
1620860793,74,0.036274,0.000000,0.000000,0.000000,events/second
1620860823,74,0.035749,0.000000,0.000000,0.000000,events/second
1620860853,74,0.035238,0.000000,0.000000,0.000000,events/second
1620860883,74,0.034742,0.000000,0.000000,0.000000,events/second
1620860913,74,0.034259,0.000000,0.000000,0.000000,events/second
1620860943,74,0.033790,0.000000,0.000000,0.000000,events/second
1620860973,74,0.033333,0.000000,0.000000,0.000000,events/second
1620861003,74,0.032889,0.000000,0.000000,0.000000,events/second
1620861033,76,0.033333,0.000000,0.000000,0.000000,events/second
1620861063,76,0.032900,0.000000,0.000000,0.000000,events/second
1620861093,76,0.032479,0.000000,0.000000,0.000000,events/second
1620861123,76,0.032067,0.000000,0.000000,0.000000,events/second
1620861153,76,0.031667,0.000000,0.000000,0.000000,events/second
1620861183,76,0.031276,0.000000,0.000000,0.000000,events/second
1620861213,76,0.030894,0.000000,0.000000,0.000000,events/second
1620861243,76,0.030522,0.000000,0.000000,0.000000,events/second
1620861273,76,0.030159,0.000000,0.000000,0.000000,events/second
1620861303,76,0.029804,0.000000,0.000000,0.000000,events/second
1620861333,76,0.029457,0.000000,0.000000,0.000000,events/second
1620861363,76,0.029119,0.000000,0.000000,0.000000,events/second
1620861393,76,0.028788,0.000000,0.000000,0.000000,events/second
1620861423,76,0.028464,0.000000,0.000000,0.000000,events/second
1620861453,76,0.028148,0.000000,0.000000,0.000000,events/second
1620861483,76,0.027839,0.000000,0.000000,0.000000,events/second
1620861513,76,0.027536,0.000000,0.000000,0.000000,events/second
1620861543,76,0.027240,0.000000,0.000000,0.000000,events/second
1620861573,76,0.026950,0.000000,0.000000,0.000000,events/second
1620861603,76,0.026667,0.000000,0.000000,0.000000,events/second
1620861633,76,0.026389,0.000000,0.000000,0.000000,events/second
1620861663,76,0.026117,0.000000,0.000000,0.000000,events/second
1620861693,76,0.025850,0.000000,0.000000,0.000000,events/second
1620861723,76,0.025589,0.000000,0.000000,0.000000,events/second
1620861753,76,0.025333,0.000000,0.000000,0.000000,events/second
1620861783,76,0.025082,0.000000,0.000000,0.000000,events/second
1620861813,76,0.024837,0.000000,0.000000,0.000000,events/second
1620861843,76,0.024595,0.000000,0.000000,0.000000,events/second
1620861873,76,0.024359,0.000000,0.000000,0.000000,events/second
1620861903,76,0.024127,0.000000,0.000000,0.000000,events/second
1620861933,76,0.023899,0.000000,0.000000,0.000000,events/second
1620861963,76,0.023676,0.000000,0.000000,0.000000,events/second
1620861993,78,0.024074,0.000000,0.000000,0.000000,events/second
1620862023,78,0.023853,0.000000,0.000000,0.000000,events/second
1620862053,78,0.023636,0.000000,0.000000,0.000000,events/second
1620862083,78,0.023423,0.000000,0.000000,0.000000,events/second
1620862113,78,0.023214,0.000000,0.000000,0.000000,events/second
1620862143,78,0.023009,0.000000,0.000000,0.000000,events/second
1620862173,78,0.022807,0.000000,0.000000,0.000000,events/second
1620862203,78,0.022609,0.000000,0.000000,0.000000,events/second
1620862233,78,0.022414,0.000000,0.000000,0.000000,events/second
1620862263,78,0.022222,0.000000,0.000000,0.000000,events/second
1620862293,78,0.022034,0.000000,0.000000,0.000000,events/second
1620862323,78,0.021849,0.000000,0.000000,0.000000,events/second
1620862353,78,0.021667,0.000000,0.000000,0.000000,events/second
1620862383,78,0.021488,0.000000,0.000000,0.000000,events/second
1620862413,78,0.021311,0.000000,0.000000,0.000000,events/second
1620862443,78,0.021138,0.000000,0.000000,0.000000,events/second
1620862473,78,0.020968,0.000000,0.000000,0.000000,events/second
1620862503,78,0.020800,0.000000,0.000000,0.000000,events/second
1620862533,78,0.020635,0.000000,0.000000,0.000000,events/second
1620862563,78,0.020472,0.000000,0.000000,0.000000,events/second
1620862593,78,0.020312,0.000000,0.000000,0.000000,events/second
1620862623,78,0.020155,0.000000,0.000000,0.000000,events/second
1620862653,78,0.020000,0.000000,0.000000,0.000000,events/second
1620862683,78,0.019847,0.000000,0.000000,0.000000,events/second
1620862713,78,0.019697,0.000000,0.000000,0.000000,events/second
1620862743,78,0.019549,0.000000,0.000000,0.000000,events/second
1620862773,78,0.019403,0.000000,0.000000,0.000000,events/second
1620862803,78,0.019259,0.000000,0.000000,0.000000,events/second
1620862833,78,0.019118,0.000000,0.000000,0.000000,events/second
1620862863,78,0.018978,0.000000,0.000000,0.000000,events/second
1620862893,78,0.018841,0.000000,0.000000,0.000000,events/second
1620862923,78,0.018705,0.000000,0.000000,0.000000,events/second
1620862953,78,0.018571,0.000000,0.000000,0.000000,events/second
1620862983,78,0.018440,0.000000,0.000000,0.000000,events/second
1620863013,78,0.018310,0.000000,0.000000,0.000000,events/second
1620863043,78,0.018182,0.000000,0.000000,0.000000,events/second
1620863073,78,0.018056,0.000000,0.000000,0.000000,events/second
1620863103,78,0.017931,0.000000,0.000000,0.000000,events/second
1620863133,78,0.017808,0.000000,0.000000,0.000000,events/second
1620863163,78,0.017687,0.000000,0.000000,0.000000,events/second
1620863193,78,0.017568,0.000000,0.000000,0.000000,events/second
1620863223,78,0.017450,0.000000,0.000000,0.000000,events/second
1620863253,78,0.017333,0.000000,0.000000,0.000000,events/second
1620863283,78,0.017219,0.000000,0.000000,0.000000,events/second
1620863313,78,0.017105,0.000000,0.000000,0.000000,events/second
1620863343,78,0.016993,0.000000,0.000000,0.000000,events/second
1620863373,78,0.016883,0.000000,0.000000,0.000000,events/second
1620863403,78,0.016774,0.000000,0.000000,0.000000,events/second
1620863433,78,0.016667,0.000000,0.000000,0.000000,events/second
1620863463,78,0.016560,0.000000,0.000000,0.000000,events/second
1620863493,78,0.016456,0.000000,0.000000,0.000000,events/second
1620863523,78,0.016352,0.000000,0.000000,0.000000,events/second
1620863553,78,0.016250,0.000000,0.000000,0.000000,events/second
1620863583,78,0.016149,0.000000,0.000000,0.000000,events/second
1620863613,78,0.016049,0.000000,0.000000,0.000000,events/second
1620863643,78,0.015951,0.000000,0.000000,0.000000,events/second
1620863673,78,0.015854,0.000000,0.000000,0.000000,events/second
1620863703,78,0.015758,0.000000,0.000000,0.000000,events/second
1620863733,78,0.015663,0.000000,0.000000,0.000000,events/second
1620863763,78,0.015569,0.000000,0.000000,0.000000,events/second
1620863793,78,0.015476,0.000000,0.000000,0.000000,events/second
1620863823,78,0.015385,0.000000,0.000000,0.000000,events/second
1620863853,78,0.015294,0.000000,0.000000,0.000000,events/second
1620863883,78,0.015205,0.000000,0.000000,0.000000,events/second
1620863913,78,0.015116,0.000000,0.000000,0.000000,events/second
1620863943,78,0.015029,0.000000,0.000000,0.000000,events/second
1620863973,78,0.014943,0.000000,0.000000,0.000000,events/second
1620864003,78,0.014857,0.000000,0.000000,0.000000,events/second
1620864033,78,0.014773,0.000000,0.000000,0.000000,events/second
1620864063,78,0.014689,0.000000,0.000000,0.000000,events/second
