t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1620858783,171,5.089153,0.000000,0.000000,0.000000,events/second
1620858813,177,2.803925,0.000000,0.000000,0.000000,events/second
1620858843,180,1.932982,0.000000,0.000000,0.000000,events/second
1620858873,186,1.510707,0.000000,0.000000,0.000000,events/second
1620858903,189,1.234309,0.000000,0.000000,0.000000,events/second
1620858933,195,1.064896,0.000000,0.000000,0.000000,events/second
1620858963,198,0.929058,0.000000,0.000000,0.000000,events/second
1620858993,204,0.839091,0.000000,0.000000,0.000000,events/second
1620859023,207,0.757908,0.000000,0.000000,0.000000,events/second
1620859053,213,0.702697,0.000000,0.000000,0.000000,events/second
1620859083,216,0.648420,0.000000,0.000000,0.000000,events/second
1620859113,222,0.611377,0.000000,0.000000,0.000000,events/second
1620859143,225,0.572348,0.000000,0.000000,0.000000,events/second
1620859173,231,0.545948,0.000000,0.000000,0.000000,events/second
1620859203,234,0.516421,0.000000,0.000000,0.000000,events/second
1620859233,240,0.496774,0.000000,0.000000,0.000000,events/second
1620859263,243,0.473574,0.000000,0.000000,0.000000,events/second
1620859293,249,0.458465,0.000000,0.000000,0.000000,events/second
1620859323,252,0.439702,0.000000,0.000000,0.000000,events/second
1620859353,258,0.427779,0.000000,0.000000,0.000000,events/second
1620859383,265,0.418564,0.000000,0.000000,0.000000,events/second
1620859413,274,0.413201,0.000000,0.000000,0.000000,events/second
1620859443,277,0.399645,0.000000,0.000000,0.000000,events/second
1620859473,286,0.395510,0.000000,0.000000,0.000000,events/second
1620859503,289,0.383740,0.000000,0.000000,0.000000,events/second
1620859533,295,0.376701,0.000000,0.000000,0.000000,events/second
1620859563,298,0.366492,0.000000,0.000000,0.000000,events/second
1620859593,307,0.364125,0.000000,0.000000,0.000000,events/second
1620859623,310,0.355051,0.000000,0.000000,0.000000,events/second
1620859653,316,0.349900,0.000000,0.000000,0.000000,events/second
1620859683,319,0.341865,0.000000,0.000000,0.000000,events/second
1620859713,328,0.340561,0.000000,0.000000,0.000000,events/second
1620859743,334,0.336315,0.000000,0.000000,0.000000,events/second
1620859773,340,0.332318,0.000000,0.000000,0.000000,events/second
1620859803,343,0.325699,0.000000,0.000000,0.000000,events/second
1620859833,349,0.322218,0.000000,0.000000,0.000000,events/second
1620859863,352,0.316230,0.000000,0.000000,0.000000,events/second
1620859893,358,0.313180,0.000000,0.000000,0.000000,events/second
1620859923,361,0.307727,0.000000,0.000000,0.000000,events/second
1620859953,367,0.305041,0.000000,0.000000,0.000000,events/second
1620859983,371,0.300864,0.000000,0.000000,0.000000,events/second
1620860013,377,0.298468,0.000000,0.000000,0.000000,events/second
1620860043,380,0.293864,0.000000,0.000000,0.000000,events/second
1620860073,389,0.294003,0.000000,0.000000,0.000000,events/second
1620860103,401,0.296353,0.000000,0.000000,0.000000,events/second
1620860133,407,0.294264,0.000000,0.000000,0.000000,events/second
1620860163,410,0.290139,0.000000,0.000000,0.000000,events/second
1620860193,416,0.288265,0.000000,0.000000,0.000000,events/second
1620860223,419,0.284431,0.000000,0.000000,0.000000,events/second
1620860253,428,0.284742,0.000000,0.000000,0.000000,events/second
1620860283,431,0.281127,0.000000,0.000000,0.000000,events/second
1620860313,437,0.279569,0.000000,0.000000,0.000000,events/second
1620860343,452,0.283721,0.000000,0.000000,0.000000,events/second
1620860373,464,0.285870,0.000000,0.000000,0.000000,events/second
1620860403,467,0.282497,0.000000,0.000000,0.000000,events/second
1620860433,482,0.286374,0.000000,0.000000,0.000000,events/second
1620860463,485,0.283110,0.000000,0.000000,0.000000,events/second
1620860493,491,0.281680,0.000000,0.000000,0.000000,events/second
1620860523,494,0.278605,0.000000,0.000000,0.000000,events/second
1620860553,500,0.277298,0.000000,0.000000,0.000000,events/second
1620860583,504,0.274942,0.000000,0.000000,0.000000,events/second
1620860613,510,0.273735,0.000000,0.000000,0.000000,events/second
1620860643,513,0.270982,0.000000,0.000000,0.000000,events/second
1620860673,522,0.271434,0.000000,0.000000,0.000000,events/second
1620860703,525,0.268801,0.000000,0.000000,0.000000,events/second
1620860733,531,0.267761,0.000000,0.000000,0.000000,events/second
1620860763,534,0.265260,0.000000,0.000000,0.000000,events/second
1620860793,540,0.264302,0.000000,0.000000,0.000000,events/second
1620860823,543,0.261925,0.000000,0.000000,0.000000,events/second
1620860853,552,0.262467,0.000000,0.000000,0.000000,events/second
1620860883,555,0.260183,0.000000,0.000000,0.000000,events/second
1620860913,561,0.259348,0.000000,0.000000,0.000000,events/second
