t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1620858783,121,3.600526,0.000000,0.000000,0.000000,events/second
1620858813,127,2.011875,0.000000,0.000000,0.000000,events/second
1620858843,130,1.396051,0.000000,0.000000,0.000000,events/second
1620858873,136,1.104608,0.000000,0.000000,0.000000,events/second
1620858903,139,0.907776,0.000000,0.000000,0.000000,events/second
1620858933,145,0.791849,0.000000,0.000000,0.000000,events/second
1620858963,148,0.694449,0.000000,0.000000,0.000000,events/second
1620858993,154,0.633433,0.000000,0.000000,0.000000,events/second
1620859023,157,0.574840,0.000000,0.000000,0.000000,events/second
1620859053,163,0.537746,0.000000,0.000000,0.000000,events/second
1620859083,166,0.498324,0.000000,0.000000,0.000000,events/second
1620859113,172,0.473680,0.000000,0.000000,0.000000,events/second
1620859143,175,0.445160,0.000000,0.000000,0.000000,events/second
1620859173,181,0.427779,0.000000,0.000000,0.000000,events/second
1620859203,184,0.406076,0.000000,0.000000,0.000000,events/second
1620859233,190,0.393280,0.000000,0.000000,0.000000,events/second
1620859263,193,0.376132,0.000000,0.000000,0.000000,events/second
1620859293,199,0.366404,0.000000,0.000000,0.000000,events/second
1620859323,202,0.352460,0.000000,0.000000,0.000000,events/second
1620859353,208,0.344876,0.000000,0.000000,0.000000,events/second
1620859383,215,0.339590,0.000000,0.000000,0.000000,events/second
1620859413,224,0.337799,0.000000,0.000000,0.000000,events/second
1620859443,227,0.327507,0.000000,0.000000,0.000000,events/second
1620859473,236,0.326365,0.000000,0.000000,0.000000,events/second
1620859503,239,0.317349,0.000000,0.000000,0.000000,events/second
1620859533,245,0.312853,0.000000,0.000000,0.000000,events/second
1620859563,248,0.305000,0.000000,0.000000,0.000000,events/second
1620859593,257,0.304821,0.000000,0.000000,0.000000,events/second
1620859623,260,0.297785,0.000000,0.000000,0.000000,events/second
1620859653,266,0.294537,0.000000,0.000000,0.000000,events/second
1620859683,269,0.288282,0.000000,0.000000,0.000000,events/second
1620859713,278,0.288647,0.000000,0.000000,0.000000,events/second
1620859743,284,0.285969,0.000000,0.000000,0.000000,events/second
1620859773,290,0.283448,0.000000,0.000000,0.000000,events/second
1620859803,293,0.278221,0.000000,0.000000,0.000000,events/second
1620859833,299,0.276056,0.000000,0.000000,0.000000,events/second
1620859863,302,0.271311,0.000000,0.000000,0.000000,events/second
1620859893,308,0.269440,0.000000,0.000000,0.000000,events/second
1620859923,311,0.265106,0.000000,0.000000,0.000000,events/second
1620859953,317,0.263483,0.000000,0.000000,0.000000,events/second
1620859983,321,0.260316,0.000000,0.000000,0.000000,events/second
1620860013,327,0.258884,0.000000,0.000000,0.000000,events/second
1620860043,330,0.255198,0.000000,0.000000,0.000000,events/second
1620860073,339,0.256213,0.000000,0.000000,0.000000,events/second
1620860103,351,0.259401,0.000000,0.000000,0.000000,events/second
1620860133,357,0.258113,0.000000,0.000000,0.000000,events/second
1620860163,360,0.254756,0.000000,0.000000,0.000000,events/second
1620860193,366,0.253618,0.000000,0.000000,0.000000,events/second
1620860223,369,0.250490,0.000000,0.000000,0.000000,events/second
1620860253,378,0.251478,0.000000,0.000000,0.000000,events/second
1620860283,381,0.248513,0.000000,0.000000,0.000000,events/second
1620860313,387,0.247582,0.000000,0.000000,0.000000,events/second
1620860343,402,0.252336,0.000000,0.000000,0.000000,events/second
1620860373,414,0.255065,0.000000,0.000000,0.000000,events/second
1620860403,417,0.252251,0.000000,0.000000,0.000000,events/second
