t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1620858783,50,1.487555,0.000000,0.000000,0.000000,events/second
1620858813,50,0.792084,0.000000,0.000000,0.000000,events/second
1620858843,50,0.536946,0.000000,0.000000,0.000000,events/second
1620858873,50,0.406108,0.000000,0.000000,0.000000,events/second
1620858903,50,0.326539,0.000000,0.000000,0.000000,events/second
1620858933,50,0.273052,0.000000,0.000000,0.000000,events/second
1620858963,50,0.234612,0.000000,0.000000,0.000000,events/second
1620858993,50,0.205661,0.000000,0.000000,0.000000,events/second
1620859023,50,0.183071,0.000000,0.000000,0.000000,events/second
1620859053,50,0.164953,0.000000,0.000000,0.000000,events/second
1620859083,50,0.150098,0.000000,0.000000,0.000000,events/second
1620859113,50,0.137698,0.000000,0.000000,0.000000,events/second
1620859143,50,0.127189,0.000000,0.000000,0.000000,events/second
1620859173,50,0.118171,0.000000,0.000000,0.000000,events/second
1620859203,50,0.110347,0.000000,0.000000,0.000000,events/second
1620859233,50,0.103495,0.000000,0.000000,0.000000,events/second
1620859263,50,0.097444,0.000000,0.000000,0.000000,events/second
1620859293,50,0.092061,0.000000,0.000000,0.000000,events/second
1620859323,50,0.087243,0.000000,0.000000,0.000000,events/second
1620859353,50,0.082903,0.000000,0.000000,0.000000,events/second
1620859383,50,0.078975,0.000000,0.000000,0.000000,events/second
1620859413,50,0.075402,0.000000,0.000000,0.000000,events/second
1620859443,50,0.072138,0.000000,0.000000,0.000000,events/second
1620859473,50,0.069145,0.000000,0.000000,0.000000,events/second
1620859503,50,0.066391,0.000000,0.000000,0.000000,events/second
1620859533,50,0.063848,0.000000,0.000000,0.000000,events/second
1620859563,50,0.061492,0.000000,0.000000,0.000000,events/second
1620859593,50,0.059304,0.000000,0.000000,0.000000,events/second
1620859623,50,0.057266,0.000000,0.000000,0.000000,events/second
1620859653,50,0.055364,0.000000,0.000000,0.000000,events/second
1620859683,50,0.053584,0.000000,0.000000,0.000000,events/second
1620859713,50,0.051915,0.000000,0.000000,0.000000,events/second
1620859743,50,0.050347,0.000000,0.000000,0.000000,events/second
1620859773,50,0.048870,0.000000,0.000000,0.000000,events/second
1620859803,50,0.047478,0.000000,0.000000,0.000000,events/second
1620859833,50,0.046163,0.000000,0.000000,0.000000,events/second
1620859863,50,0.044919,0.000000,0.000000,0.000000,events/second
1620859893,50,0.043740,0.000000,0.000000,0.000000,events/second
1620859923,50,0.042622,0.000000,0.000000,0.000000,events/second
1620859953,50,0.041559,0.000000,0.000000,0.000000,events/second
1620859983,50,0.040548,0.000000,0.000000,0.000000,events/second
1620860013,50,0.039585,0.000000,0.000000,0.000000,events/second
1620860043,50,0.038666,0.000000,0.000000,0.000000,events/second
1620860073,50,0.037790,0.000000,0.000000,0.000000,events/second
1620860103,50,0.036952,0.000000,0.000000,0.000000,events/second
1620860133,50,0.036150,0.000000,0.000000,0.000000,events/second
1620860163,50,0.035383,0.000000,0.000000,0.000000,events/second
1620860193,50,0.034647,0.000000,0.000000,0.000000,events/second
1620860223,50,0.033942,0.000000,0.000000,0.000000,events/second
1620860253,50,0.033264,0.000000,0.000000,0.000000,events/second
1620860283,50,0.032613,0.000000,0.000000,0.000000,events/second
1620860313,50,0.031987,0.000000,0.000000,0.000000,events/second
1620860343,50,0.031385,0.000000,0.000000,0.000000,events/second
1620860373,50,0.030805,0.000000,0.000000,0.000000,events/second
1620860403,50,0.030246,0.000000,0.000000,0.000000,events/second
1620860433,50,0.029707,0.000000,0.000000,0.000000,events/second
1620860463,50,0.029187,0.000000,0.000000,0.000000,events/second
1620860493,50,0.028684,0.000000,0.000000,0.000000,events/second
1620860523,50,0.028199,0.000000,0.000000,0.000000,events/second
1620860553,50,0.027730,0.000000,0.000000,0.000000,events/second
1620860583,50,0.027276,0.000000,0.000000,0.000000,events/second
1620860613,50,0.026837,0.000000,0.000000,0.000000,events/second
1620860643,50,0.026412,0.000000,0.000000,0.000000,events/second
1620860673,50,0.025999,0.000000,0.000000,0.000000,events/second
1620860703,50,0.025600,0.000000,0.000000,0.000000,events/second
1620860733,50,0.025213,0.000000,0.000000,0.000000,events/second
1620860763,50,0.024837,0.000000,0.000000,0.000000,events/second
1620860793,50,0.024472,0.000000,0.000000,0.000000,events/second
1620860823,50,0.024118,0.000000,0.000000,0.000000,events/second
1620860853,50,0.023774,0.000000,0.000000,0.000000,events/second
1620860883,50,0.023440,0.000000,0.000000,0.000000,events/second
1620860913,50,0.023115,0.000000,0.000000,0.000000,events/second
1620860943,50,0.022799,0.000000,0.000000,0.000000,events/second
1620860973,50,0.022491,0.000000,0.000000,0.000000,events/second
1620861003,50,0.022191,0.000000,0.000000,0.000000,events/second
1620861033,50,0.021900,0.000000,0.000000,0.000000,events/second
1620861063,50,0.021616,0.000000,0.000000,0.000000,events/second
1620861093,50,0.021339,0.000000,0.000000,0.000000,events/second
1620861123,50,0.021069,0.000000,0.000000,0.000000,events/second
1620861153,50,0.020806,0.000000,0.000000,0.000000,events/second
1620861183,50,0.020550,0.000000,0.000000,0.000000,events/second
1620861213,50,0.020300,0.000000,0.000000,0.000000,events/second
1620861243,50,0.020055,0.000000,0.000000,0.000000,events/second
1620861273,50,0.019817,0.000000,0.000000,0.000000,events/second
1620861303,50,0.019584,0.000000,0.000000,0.000000,events/second
1620861333,50,0.019356,0.000000,0.000000,0.000000,events/second
1620861363,50,0.019134,0.000000,0.000000,0.000000,events/second
1620861393,50,0.018917,0.000000,0.000000,0.000000,events/second
1620861423,50,0.018705,0.000000,0.000000,0.000000,events/second
1620861453,50,0.018497,0.000000,0.000000,0.000000,events/second
1620861483,50,0.018294,0.000000,0.000000,0.000000,events/second
1620861513,50,0.018096,0.000000,0.000000,0.000000,events/second
1620861543,50,0.017901,0.000000,0.000000,0.000000,events/second
1620861573,50,0.017711,0.000000,0.000000,0.000000,events/second
1620861603,50,0.017525,0.000000,0.000000,0.000000,events/second
1620861633,50,0.017342,0.000000,0.000000,0.000000,events/second
1620861663,50,0.017164,0.000000,0.000000,0.000000,events/second
1620861693,50,0.016989,0.000000,0.000000,0.000000,events/second
1620861723,50,0.016817,0.000000,0.000000,0.000000,events/second
1620861753,50,0.016649,0.000000,0.000000,0.000000,events/second
1620861783,50,0.016485,0.000000,0.000000,0.000000,events/second
1620861813,50,0.016323,0.000000,0.000000,0.000000,events/second
1620861843,50,0.016165,0.000000,0.000000,0.000000,events/second
1620861873,50,0.016010,0.000000,0.000000,0.000000,events/second
1620861903,50,0.015857,0.000000,0.000000,0.000000,events/second
1620861933,50,0.015708,0.000000,0.000000,0.000000,events/second
1620861963,50,0.015561,0.000000,0.000000,0.000000,events/second
1620861993,50,0.015417,0.000000,0.000000,0.000000,events/second
1620862023,50,0.015276,0.000000,0.000000,0.000000,events/second
1620862053,50,0.015137,0.000000,0.000000,0.000000,events/second
1620862083,50,0.015001,0.000000,0.000000,0.000000,events/second
1620862113,50,0.014867,0.000000,0.000000,0.000000,events/second
1620862143,50,0.014736,0.000000,0.000000,0.000000,events/second
1620862173,50,0.014607,0.000000,0.000000,0.000000,events/second
1620862203,50,0.014480,0.000000,0.000000,0.000000,events/second
1620862233,50,0.014355,0.000000,0.000000,0.000000,events/second
1620862263,50,0.014232,0.000000,0.000000,0.000000,events/second
1620862293,50,0.014112,0.000000,0.000000,0.000000,events/second
1620862323,50,0.013993,0.000000,0.000000,0.000000,events/second
1620862353,50,0.013877,0.000000,0.000000,0.000000,events/second
1620862383,50,0.013762,0.000000,0.000000,0.000000,events/second
1620862413,50,0.013650,0.000000,0.000000,0.000000,events/second
1620862443,50,0.013539,0.000000,0.000000,0.000000,events/second
1620862473,50,0.013430,0.000000,0.000000,0.000000,events/second
1620862503,50,0.013322,0.000000,0.000000,0.000000,events/second
1620862533,50,0.013217,0.000000,0.000000,0.000000,events/second
1620862563,50,0.013113,0.000000,0.000000,0.000000,events/second
1620862593,50,0.013010,0.000000,0.000000,0.000000,events/second
1620862623,50,0.012910,0.000000,0.000000,0.000000,events/second
1620862653,50,0.012810,0.000000,0.000000,0.000000,events/second
1620862683,50,0.012713,0.000000,0.000000,0.000000,events/second
1620862713,50,0.012616,0.000000,0.000000,0.000000,events/second
1620862743,50,0.012522,0.000000,0.000000,0.000000,events/second
1620862773,50,0.012428,0.000000,0.000000,0.000000,events/second
1620862803,50,0.012336,0.000000,0.000000,0.000000,events/second
1620862833,50,0.012246,0.000000,0.000000,0.000000,events/second
1620862863,50,0.012156,0.000000,0.000000,0.000000,events/second
1620862893,50,0.012068,0.000000,0.000000,0.000000,events/second
1620862923,50,0.011981,0.000000,0.000000,0.000000,events/second
1620862953,50,0.011896,0.000000,0.000000,0.000000,events/second
1620862983,50,0.011812,0.000000,0.000000,0.000000,events/second
1620863013,50,0.011729,0.000000,0.000000,0.000000,events/second
1620863043,50,0.011647,0.000000,0.000000,0.000000,events/second
1620863073,50,0.011566,0.000000,0.000000,0.000000,events/second
1620863103,50,0.011486,0.000000,0.000000,0.000000,events/second
1620863133,50,0.011407,0.000000,0.000000,0.000000,events/second
1620863163,50,0.011330,0.000000,0.000000,0.000000,events/second
1620863193,50,0.011253,0.000000,0.000000,0.000000,events/second
1620863223,50,0.011178,0.000000,0.000000,0.000000,events/second
1620863253,50,0.011103,0.000000,0.000000,0.000000,events/second
1620863283,50,0.011030,0.000000,0.000000,0.000000,events/second
1620863313,50,0.010957,0.000000,0.000000,0.000000,events/second
1620863343,50,0.010886,0.000000,0.000000,0.000000,events/second
1620863373,50,0.010815,0.000000,0.000000,0.000000,events/second
1620863403,50,0.010745,0.000000,0.000000,0.000000,events/second
1620863433,50,0.010677,0.000000,0.000000,0.000000,events/second
1620863463,50,0.010609,0.000000,0.000000,0.000000,events/second
1620863493,50,0.010542,0.000000,0.000000,0.000000,events/second
1620863523,50,0.010475,0.000000,0.000000,0.000000,events/second
1620863553,50,0.010410,0.000000,0.000000,0.000000,events/second
1620863583,50,0.010345,0.000000,0.000000,0.000000,events/second
1620863613,50,0.010281,0.000000,0.000000,0.000000,events/second
1620863643,50,0.010218,0.000000,0.000000,0.000000,events/second
1620863673,50,0.010156,0.000000,0.000000,0.000000,events/second
1620863703,50,0.010095,0.000000,0.000000,0.000000,events/second
1620863733,50,0.010034,0.000000,0.000000,0.000000,events/second
1620863763,50,0.009974,0.000000,0.000000,0.000000,events/second
1620863793,50,0.009914,0.000000,0.000000,0.000000,events/second
1620863823,50,0.009856,0.000000,0.000000,0.000000,events/second
1620863853,50,0.009798,0.000000,0.000000,0.000000,events/second
1620863883,50,0.009741,0.000000,0.000000,0.000000,events/second
1620863913,50,0.009684,0.000000,0.000000,0.000000,events/second
1620863943,50,0.009628,0.000000,0.000000,0.000000,events/second
