t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1620858783,51,1.517208,0.000000,0.000000,0.000000,events/second
1620858813,51,0.807973,0.000000,0.000000,0.000000,events/second
1620858843,51,0.547706,0.000000,0.000000,0.000000,events/second
1620858873,51,0.414243,0.000000,0.000000,0.000000,events/second
1620858903,51,0.333078,0.000000,0.000000,0.000000,events/second
1620858933,51,0.278519,0.000000,0.000000,0.000000,events/second
1620858963,51,0.239308,0.000000,0.000000,0.000000,events/second
1620858993,51,0.209777,0.000000,0.000000,0.000000,events/second
1620859023,51,0.186734,0.000000,0.000000,0.000000,events/second
1620859053,51,0.168254,0.000000,0.000000,0.000000,events/second
1620859083,51,0.153102,0.000000,0.000000,0.000000,events/second
1620859113,51,0.140453,0.000000,0.000000,0.000000,events/second
1620859143,51,0.129734,0.000000,0.000000,0.000000,events/second
1620859173,51,0.120536,0.000000,0.000000,0.000000,events/second
1620859203,51,0.112555,0.000000,0.000000,0.000000,events/second
1620859233,51,0.105566,0.000000,0.000000,0.000000,events/second
1620859263,51,0.099393,0.000000,0.000000,0.000000,events/second
1620859293,51,0.093903,0.000000,0.000000,0.000000,events/second
1620859323,51,0.088988,0.000000,0.000000,0.000000,events/second
1620859353,51,0.084562,0.000000,0.000000,0.000000,events/second
1620859383,51,0.080554,0.000000,0.000000,0.000000,events/second
1620859413,51,0.076910,0.000000,0.000000,0.000000,events/second
1620859443,51,0.073581,0.000000,0.000000,0.000000,events/second
1620859473,51,0.070528,0.000000,0.000000,0.000000,events/second
1620859503,51,0.067719,0.000000,0.000000,0.000000,events/second
1620859533,51,0.065125,0.000000,0.000000,0.000000,events/second
1620859563,51,0.062722,0.000000,0.000000,0.000000,events/second
1620859593,51,0.060490,0.000000,0.000000,0.000000,events/second
1620859623,51,0.058412,0.000000,0.000000,0.000000,events/second
1620859653,51,0.056472,0.000000,0.000000,0.000000,events/second
1620859683,51,0.054656,0.000000,0.000000,0.000000,events/second
1620859713,51,0.052953,0.000000,0.000000,0.000000,events/second
1620859743,51,0.051354,0.000000,0.000000,0.000000,events/second
1620859773,51,0.049848,0.000000,0.000000,0.000000,events/second
1620859803,51,0.048428,0.000000,0.000000,0.000000,events/second
1620859833,51,0.047087,0.000000,0.000000,0.000000,events/second
1620859863,51,0.045818,0.000000,0.000000,0.000000,events/second
1620859893,51,0.044615,0.000000,0.000000,0.000000,events/second
1620859923,51,0.043474,0.000000,0.000000,0.000000,events/second
1620859953,51,0.042390,0.000000,0.000000,0.000000,events/second
1620859983,51,0.041359,0.000000,0.000000,0.000000,events/second
1620860013,51,0.040376,0.000000,0.000000,0.000000,events/second
1620860043,51,0.039440,0.000000,0.000000,0.000000,events/second
1620860073,51,0.038545,0.000000,0.000000,0.000000,events/second
1620860103,51,0.037691,0.000000,0.000000,0.000000,events/second
1620860133,51,0.036873,0.000000,0.000000,0.000000,events/second
1620860163,51,0.036091,0.000000,0.000000,0.000000,events/second
1620860193,51,0.035340,0.000000,0.000000,0.000000,events/second
1620860223,51,0.034621,0.000000,0.000000,0.000000,events/second
1620860253,51,0.033930,0.000000,0.000000,0.000000,events/second
1620860283,51,0.033266,0.000000,0.000000,0.000000,events/second
1620860313,51,0.032627,0.000000,0.000000,0.000000,events/second
1620860343,51,0.032013,0.000000,0.000000,0.000000,events/second
1620860373,51,0.031421,0.000000,0.000000,0.000000,events/second
1620860403,51,0.030851,0.000000,0.000000,0.000000,events/second
1620860433,51,0.030301,0.000000,0.000000,0.000000,events/second
1620860463,51,0.029770,0.000000,0.000000,0.000000,events/second
1620860493,51,0.029258,0.000000,0.000000,0.000000,events/second
1620860523,51,0.028763,0.000000,0.000000,0.000000,events/second
1620860553,51,0.028284,0.000000,0.000000,0.000000,events/second
1620860583,51,0.027822,0.000000,0.000000,0.000000,events/second
1620860613,51,0.027374,0.000000,0.000000,0.000000,events/second
1620860643,51,0.026940,0.000000,0.000000,0.000000,events/second
1620860673,51,0.026520,0.000000,0.000000,0.000000,events/second
1620860703,51,0.026112,0.000000,0.000000,0.000000,events/second
1620860733,51,0.025717,0.000000,0.000000,0.000000,events/second
1620860763,51,0.025334,0.000000,0.000000,0.000000,events/second
1620860793,51,0.024962,0.000000,0.000000,0.000000,events/second
1620860823,51,0.024601,0.000000,0.000000,0.000000,events/second
1620860853,51,0.024250,0.000000,0.000000,0.000000,events/second
1620860883,51,0.023909,0.000000,0.000000,0.000000,events/second
1620860913,51,0.023577,0.000000,0.000000,0.000000,events/second
1620860943,51,0.023255,0.000000,0.000000,0.000000,events/second
1620860973,51,0.022941,0.000000,0.000000,0.000000,events/second
1620861003,51,0.022635,0.000000,0.000000,0.000000,events/second
1620861033,51,0.022338,0.000000,0.000000,0.000000,events/second
1620861063,51,0.022048,0.000000,0.000000,0.000000,events/second
1620861093,51,0.021766,0.000000,0.000000,0.000000,events/second
1620861123,51,0.021491,0.000000,0.000000,0.000000,events/second
1620861153,51,0.021222,0.000000,0.000000,0.000000,events/second
1620861183,51,0.020961,0.000000,0.000000,0.000000,events/second
1620861213,51,0.020706,0.000000,0.000000,0.000000,events/second
1620861243,51,0.020456,0.000000,0.000000,0.000000,events/second
1620861273,51,0.020213,0.000000,0.000000,0.000000,events/second
1620861303,51,0.019976,0.000000,0.000000,0.000000,events/second
1620861333,51,0.019744,0.000000,0.000000,0.000000,events/second
1620861363,51,0.019517,0.000000,0.000000,0.000000,events/second
1620861393,51,0.019295,0.000000,0.000000,0.000000,events/second
1620861423,51,0.019079,0.000000,0.000000,0.000000,events/second
1620861453,51,0.018867,0.000000,0.000000,0.000000,events/second
1620861483,51,0.018660,0.000000,0.000000,0.000000,events/second
1620861513,51,0.018457,0.000000,0.000000,0.000000,events/second
1620861543,51,0.018259,0.000000,0.000000,0.000000,events/second
1620861573,51,0.018065,0.000000,0.000000,0.000000,events/second
1620861603,51,0.017875,0.000000,0.000000,0.000000,events/second
1620861633,51,0.017689,0.000000,0.000000,0.000000,events/second
1620861663,51,0.017507,0.000000,0.000000,0.000000,events/second
1620861693,51,0.017329,0.000000,0.000000,0.000000,events/second
1620861723,51,0.017154,0.000000,0.000000,0.000000,events/second
1620861753,51,0.016982,0.000000,0.000000,0.000000,events/second
1620861783,51,0.016814,0.000000,0.000000,0.000000,events/second
1620861813,51,0.016650,0.000000,0.000000,0.000000,events/second
1620861843,51,0.016488,0.000000,0.000000,0.000000,events/second
1620861873,51,0.016330,0.000000,0.000000,0.000000,events/second
1620861903,51,0.016175,0.000000,0.000000,0.000000,events/second
1620861933,51,0.016022,0.000000,0.000000,0.000000,events/second
1620861963,51,0.015872,0.000000,0.000000,0.000000,events/second
1620861993,51,0.015726,0.000000,0.000000,0.000000,events/second
1620862023,51,0.015582,0.000000,0.000000,0.000000,events/second
1620862053,51,0.015440,0.000000,0.000000,0.000000,events/second
1620862083,51,0.015301,0.000000,0.000000,0.000000,events/second
1620862113,51,0.015165,0.000000,0.000000,0.000000,events/second
1620862143,51,0.015030,0.000000,0.000000,0.000000,events/second
1620862173,51,0.014899,0.000000,0.000000,0.000000,events/second
1620862203,51,0.014769,0.000000,0.000000,0.000000,events/second
1620862233,51,0.014642,0.000000,0.000000,0.000000,events/second
1620862263,51,0.014517,0.000000,0.000000,0.000000,events/second
1620862293,51,0.014394,0.000000,0.000000,0.000000,events/second
1620862323,51,0.014273,0.000000,0.000000,0.000000,events/second
1620862353,51,0.014154,0.000000,0.000000,0.000000,events/second
1620862383,51,0.014038,0.000000,0.000000,0.000000,events/second
1620862413,51,0.013923,0.000000,0.000000,0.000000,events/second
1620862443,51,0.013809,0.000000,0.000000,0.000000,events/second
1620862473,51,0.013698,0.000000,0.000000,0.000000,events/second
1620862503,51,0.013589,0.000000,0.000000,0.000000,events/second
1620862533,51,0.013481,0.000000,0.000000,0.000000,events/second
1620862563,51,0.013375,0.000000,0.000000,0.000000,events/second
1620862593,51,0.013270,0.000000,0.000000,0.000000,events/second
1620862623,51,0.013168,0.000000,0.000000,0.000000,events/second
1620862653,51,0.013067,0.000000,0.000000,0.000000,events/second
1620862683,51,0.012967,0.000000,0.000000,0.000000,events/second
1620862713,51,0.012869,0.000000,0.000000,0.000000,events/second
1620862743,51,0.012772,0.000000,0.000000,0.000000,events/second
1620862773,51,0.012677,0.000000,0.000000,0.000000,events/second
1620862803,51,0.012583,0.000000,0.000000,0.000000,events/second
1620862833,51,0.012490,0.000000,0.000000,0.000000,events/second
1620862863,51,0.012399,0.000000,0.000000,0.000000,events/second
1620862893,51,0.012310,0.000000,0.000000,0.000000,events/second
1620862923,51,0.012221,0.000000,0.000000,0.000000,events/second
1620862953,51,0.012134,0.000000,0.000000,0.000000,events/second
1620862983,51,0.012048,0.000000,0.000000,0.000000,events/second
1620863013,51,0.011963,0.000000,0.000000,0.000000,events/second
1620863043,51,0.011879,0.000000,0.000000,0.000000,events/second
1620863073,51,0.011797,0.000000,0.000000,0.000000,events/second
1620863103,51,0.011716,0.000000,0.000000,0.000000,events/second
1620863133,51,0.011636,0.000000,0.000000,0.000000,events/second
1620863163,51,0.011556,0.000000,0.000000,0.000000,events/second
1620863193,51,0.011478,0.000000,0.000000,0.000000,events/second
1620863223,51,0.011401,0.000000,0.000000,0.000000,events/second
1620863253,51,0.011325,0.000000,0.000000,0.000000,events/second
1620863283,51,0.011251,0.000000,0.000000,0.000000,events/second
1620863313,51,0.011177,0.000000,0.000000,0.000000,events/second
1620863343,51,0.011104,0.000000,0.000000,0.000000,events/second
1620863373,51,0.011032,0.000000,0.000000,0.000000,events/second
1620863403,51,0.010960,0.000000,0.000000,0.000000,events/second
1620863433,51,0.010890,0.000000,0.000000,0.000000,events/second
1620863463,51,0.010821,0.000000,0.000000,0.000000,events/second
1620863493,51,0.010752,0.000000,0.000000,0.000000,events/second
1620863523,51,0.010685,0.000000,0.000000,0.000000,events/second
1620863553,51,0.010618,0.000000,0.000000,0.000000,events/second
1620863583,51,0.010552,0.000000,0.000000,0.000000,events/second
1620863613,51,0.010487,0.000000,0.000000,0.000000,events/second
