t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1620858783,2,0.059471,0.000000,0.000000,0.000000,events/second
1620858813,2,0.031681,0.000000,0.000000,0.000000,events/second
1620858843,2,0.021477,0.000000,0.000000,0.000000,events/second
1620858873,2,0.016244,0.000000,0.000000,0.000000,events/second
1620858903,2,0.013061,0.000000,0.000000,0.000000,events/second
1620858933,2,0.010922,0.000000,0.000000,0.000000,events/second
1620858963,2,0.009384,0.000000,0.000000,0.000000,events/second
1620858993,2,0.008226,0.000000,0.000000,0.000000,events/second
1620859023,2,0.007323,0.000000,0.000000,0.000000,events/second
1620859053,2,0.006598,0.000000,0.000000,0.000000,events/second
1620859083,2,0.006004,0.000000,0.000000,0.000000,events/second
1620859113,2,0.005508,0.000000,0.000000,0.000000,events/second
1620859143,2,0.005087,0.000000,0.000000,0.000000,events/second
1620859173,2,0.004727,0.000000,0.000000,0.000000,events/second
1620859203,2,0.004414,0.000000,0.000000,0.000000,events/second
1620859233,2,0.004140,0.000000,0.000000,0.000000,events/second
1620859263,2,0.003898,0.000000,0.000000,0.000000,events/second
1620859293,2,0.003682,0.000000,0.000000,0.000000,events/second
1620859323,2,0.003490,0.000000,0.000000,0.000000,events/second
1620859353,2,0.003316,0.000000,0.000000,0.000000,events/second
1620859383,2,0.003159,0.000000,0.000000,0.000000,events/second
1620859413,2,0.003016,0.000000,0.000000,0.000000,events/second
1620859443,2,0.002886,0.000000,0.000000,0.000000,events/second
1620859473,2,0.002766,0.000000,0.000000,0.000000,events/second
1620859503,2,0.002656,0.000000,0.000000,0.000000,events/second
1620859533,2,0.002554,0.000000,0.000000,0.000000,events/second
1620859563,2,0.002460,0.000000,0.000000,0.000000,events/second
1620859593,2,0.002372,0.000000,0.000000,0.000000,events/second
1620859623,2,0.002291,0.000000,0.000000,0.000000,events/second
1620859653,2,0.002215,0.000000,0.000000,0.000000,events/second
1620859683,2,0.002143,0.000000,0.000000,0.000000,events/second
1620859713,2,0.002077,0.000000,0.000000,0.000000,events/second
1620859743,2,0.002014,0.000000,0.000000,0.000000,events/second
1620859773,2,0.001955,0.000000,0.000000,0.000000,events/second
1620859803,2,0.001899,0.000000,0.000000,0.000000,events/second
