t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1620858783,180,5.893762,0.000000,0.000000,0.000000,events/second
1620858813,180,2.999454,0.000000,0.000000,0.000000,events/second
1620858843,180,1.999874,0.000000,0.000000,0.000000,events/second
1620858873,180,1.499925,0.000000,0.000000,0.000000,events/second
1620858903,180,1.199945,0.000000,0.000000,0.000000,events/second
1620858933,180,0.999994,0.000000,0.000000,0.000000,events/second
1620858963,180,0.857127,0.000000,0.000000,0.000000,events/second
1620858993,180,0.749984,0.000000,0.000000,0.000000,events/second
1620859023,180,0.666655,0.000000,0.000000,0.000000,events/second
1620859053,180,0.599995,0.000000,0.000000,0.000000,events/second
1620859083,180,0.545452,0.000000,0.000000,0.000000,events/second
1620859113,180,0.500001,0.000000,0.000000,0.000000,events/second
1620859143,180,0.461536,0.000000,0.000000,0.000000,events/second
1620859173,180,0.428570,0.000000,0.000000,0.000000,events/second
1620859203,180,0.399998,0.000000,0.000000,0.000000,events/second
1620859233,197,0.410415,0.000000,0.000000,0.000000,events/second
1620859263,197,0.386272,0.000000,0.000000,0.000000,events/second
1620859293,197,0.364814,0.000000,0.000000,0.000000,events/second
1620859323,197,0.345614,0.000000,0.000000,0.000000,events/second
1620859353,197,0.328333,0.000000,0.000000,0.000000,events/second
1620859383,197,0.312698,0.000000,0.000000,0.000000,events/second
1620859413,197,0.298485,0.000000,0.000000,0.000000,events/second
1620859443,197,0.285507,0.000000,0.000000,0.000000,events/second
1620859473,197,0.273610,0.000000,0.000000,0.000000,events/second
1620859503,197,0.262667,0.000000,0.000000,0.000000,events/second
1620859533,197,0.252564,0.000000,0.000000,0.000000,events/second
1620859563,197,0.243210,0.000000,0.000000,0.000000,events/second
1620859593,197,0.234523,0.000000,0.000000,0.000000,events/second
1620859623,197,0.226437,0.000000,0.000000,0.000000,events/second
1620859653,197,0.218889,0.000000,0.000000,0.000000,events/second
1620859683,197,0.211828,0.000000,0.000000,0.000000,events/second
1620859713,208,0.216667,0.000000,0.000000,0.000000,events/second
1620859743,208,0.210101,0.000000,0.000000,0.000000,events/second
1620859773,208,0.203921,0.000000,0.000000,0.000000,events/second
1620859803,208,0.198095,0.000000,0.000000,0.000000,events/second
1620859833,208,0.192593,0.000000,0.000000,0.000000,events/second
1620859863,208,0.187388,0.000000,0.000000,0.000000,events/second
1620859893,208,0.182456,0.000000,0.000000,0.000000,events/second
1620859923,208,0.177777,0.000000,0.000000,0.000000,events/second
1620859953,208,0.173333,0.000000,0.000000,0.000000,events/second
1620859983,208,0.169106,0.000000,0.000000,0.000000,events/second
